word,freq,year
세대,47,2020
충돌,4,2020
가지,3,2020
뇌관,5,2020
갈등,20,2020
존재,6,2020
기원전,2,2020
나이,8,2020
요즘,5,2020
젊은이,4,2020
버릇,1,2020
한탄,2,2020
기득권,4,2020
꼰대,2,2020
주기,1,2020
사람,33,2020
희생,2,2020
강요,8,2020
고려장,2,2020
관습,2,2020
기근,2,2020
전쟁,2,2020
위기,3,2020
상황,22,2020
크게,2,2020
무엇,1,2020
수가,1,2020
얼마,2,2020
수명,1,2020
경제,6,2020
둔화,1,2020
여지,2,2020
가치관,1,2020
차이,2,2020
이해관계,1,2020
정면,1,2020
양상,2,2020
단골,1,2020
손님,1,2020
일자리,9,2020
부족,3,2020
취업,4,2020
정년,31,2020
직장,2,2020
중장,6,2020
눈길,1,2020
인공,1,2020
지능,1,2020
발달,1,2020
산업,1,2020
혁명,1,2020
감소,3,2020
예고,1,2020
연금,33,2020
고령,4,2020
시대,2,2020
노후,7,2020
상식,5,2020
은퇴,3,2020
최고,2,2020
대책,9,2020
동시,1,2020
복지,3,2020
수요,2,2020
지급,6,2020
유럽,3,2020
나라,3,2020
연장,24,2020
국민연금,7,2020
한국,24,2020
퇴직,2,2020
준비,3,2020
대다수,5,2020
의사,1,2020
현실,3,2020
종류,1,2020
청년,36,2020
고용,5,2020
결과,3,2020
정규직,1,2020
반박,2,2020
얘기,3,2020
공무원,23,2020
교사,5,2020
정규,10,2020
마찰,1,2020
완화,1,2020
방법,4,2020
공감,4,2020
우선,3,2020
논의,5,2020
분야,1,2020
제한,1,2020
연공,1,2020
직무,1,2020
중심,6,2020
급여,2,2020
체계,3,2020
적정,1,2020
수준,1,2020
임금,3,2020
피크,2,2020
근무,11,2020
연수,1,2020
비례,2,2020
성과,1,2020
상대,4,2020
불만,1,2020
제도,13,2020
개편,4,2020
요구,27,2020
제시,9,2020
근거,1,2020
자녀,2,2020
부담,5,2020
증가,1,2020
노년,1,2020
인구,8,2020
강화,1,2020
주장,5,2020
진보,2,2020
성향,1,2020
전문가,2,2020
사이,2,2020
논쟁,1,2020
만큼,3,2020
해답,1,2020
선진국,1,2020
성숙,5,2020
고령화,3,2020
급속,1,2020
진행,2,2020
서유럽,1,2020
후반,2,2020
중견,1,2020
기업,2,2020
합리,3,2020
대안,5,2020
고령자,5,2020
위험,3,2020
재정,8,2020
고갈,5,2020
확충,1,2020
대상,5,2020
기초,3,2020
기본소득,1,2020
국민,7,2020
합의,3,2020
소득,8,2020
적합,1,2020
일거리,1,2020
공생,1,2020
지름길,1,2020
그동안,12,2020
서울,33,2020
아파트,2,2020
대표,4,2020
부동산,3,2020
정책,16,2020
포함,2,2020
집값,12,2020
불로소득,2,2020
빈부,1,2020
격차,1,2020
관점,1,2020
폭등,6,2020
집주인,1,2020
순식간,1,2020
자산,1,2020
탈바꿈,1,2020
입자,3,2020
불안,8,2020
고통,5,2020
증폭,2,2020
전세,1,2020
월세,3,2020
인상,3,2020
주거,5,2020
