단어,빈도_15_19,빈도_20_25,변화율(%)
가능,53.0,0.0,-98.14814814814815
갈등,222.0,167.0,-24.663677130044842
개선,0.0,94.0,9400.0
개혁,133.0,176.0,32.08955223880597
경쟁,0.0,65.0,6500.0
경제,127.0,136.0,7.03125
고령,55.0,0.0,-98.21428571428571
고용,121.0,135.0,11.475409836065573
공약,73.0,0.0,-98.64864864864865
공정,0.0,81.0,8100.0
공직,0.0,125.0,12500.0
교수,0.0,115.0,11500.0
교육,55.0,0.0,-98.21428571428571
구조,69.0,104.0,50.0
국민,360.0,178.0,-50.41551246537396
국민연금,126.0,0.0,-99.21259842519686
권력,79.0,0.0,-98.75
근무,0.0,155.0,15500.0
기간,0.0,71.0,7100.0
기사,0.0,104.0,10400.0
기업,107.0,141.0,31.48148148148148
기준,0.0,87.0,8700.0
노동,72.0,177.0,143.83561643835617
노동자,53.0,82.0,53.70370370370371
노조,0.0,237.0,23700.0
대체,60.0,0.0,-98.36065573770492
문화,0.0,103.0,10300.0
미래,0.0,66.0,6600.0
민원,0.0,87.0,8700.0
보장,69.0,0.0,-98.57142857142858
보험료,93.0,0.0,-98.93617021276596
복지,74.0,0.0,-98.66666666666667
비정규직,60.0,0.0,-98.36065573770492
사회,268.0,276.0,2.973977695167286
상황,65.0,126.0,92.42424242424242
생각,129.0,162.0,25.384615384615383
세대,558.0,543.0,-2.6833631484794274
소득,106.0,0.0,-99.06542056074767
승진,0.0,112.0,11200.0
시험,110.0,0.0,-99.09909909909909
애국,136.0,0.0,-99.27007299270073
업무,0.0,203.0,20300.0
여성,65.0,165.0,151.5151515151515
역사,60.0,0.0,-98.36065573770492
연금,487.0,268.0,-44.87704918032787
연령,75.0,0.0,-98.68421052631578
연장,0.0,166.0,16600.0
이탈,0.0,72.0,7200.0
인구,69.0,113.0,62.857142857142854
인사,0.0,179.0,17900.0
인턴,70.0,0.0,-98.59154929577466
일자리,141.0,125.0,-11.267605633802818
임금,166.0,174.0,4.790419161676647
자신,52.0,0.0,-98.11320754716981
정규직,65.0,0.0,-98.48484848484848
정년,70.0,266.0,276.056338028169
정도,61.0,0.0,-98.38709677419355
정치,233.0,181.0,-22.22222222222222
조직,0.0,149.0,14900.0
준비,65.0,0.0,-98.48484848484848
중심,0.0,64.0,6400.0
지급,62.0,79.0,26.984126984126984
지원,61.0,102.0,66.12903225806451
직원,0.0,129.0,12900.0
직장,0.0,80.0,8000.0
참여,59.0,0.0,-98.33333333333333
채용,71.0,66.0,-6.944444444444445
청년,374.0,344.0,-8.0
체계,0.0,71.0,7100.0
취업,86.0,0.0,-98.85057471264368
퇴직,0.0,122.0,12200.0
피해,0.0,76.0,7600.0
해결,65.0,0.0,-98.48484848484848
헌법,75.0,0.0,-98.68421052631578
혁신,0.0,154.0,15400.0
현실,67.0,0.0,-98.52941176470588
