단어쌍,빈도,단어1,단어2
"('사회', '세대')",62,사회,세대
"('청년', '세대')",42,청년,세대
"('사회', '상황')",42,사회,상황
"('세대', '갈등')",37,세대,갈등
"('생각', '세대')",36,생각,세대
"('사회', '갈등')",36,사회,갈등
"('청년', '사회')",35,청년,사회
"('경제', '세대')",35,경제,세대
"('국민', '세대')",35,국민,세대
"('세대', '상황')",34,세대,상황
"('사회', '구조')",33,사회,구조
"('기업', '세대')",33,기업,세대
"('국민', '사회')",32,국민,사회
"('인사', '사회')",31,인사,사회
"('사회', '근무')",31,사회,근무
"('세대', '구조')",31,세대,구조
"('청년', '갈등')",31,청년,갈등
"('노동', '세대')",31,노동,세대
"('갈등', '상황')",31,갈등,상황
"('혁신', '사회')",30,혁신,사회
"('인사', '세대')",30,인사,세대
"('청년', '상황')",30,청년,상황
"('업무', '사회')",29,업무,사회
"('방식', '세대')",29,방식,세대
"('혁신', '세대')",28,혁신,세대
"('근무', '세대')",28,근무,세대
"('중심', '세대')",28,중심,세대
"('퇴직', '세대')",28,퇴직,세대
"('결과', '세대')",28,결과,세대
"('생각', '국민')",28,생각,국민
"('조직', '문화')",28,조직,문화
"('사회', '지원')",28,사회,지원
"('조직', '업무')",28,조직,업무
"('조직', '세대')",28,조직,세대
"('혁신', '인사')",27,혁신,인사
"('해결', '세대')",27,해결,세대
"('사회', '중심')",27,사회,중심
"('사회', '공직')",27,사회,공직
"('청년', '국민')",27,청년,국민
"('노동', '사회')",27,노동,사회
"('정치', '세대')",27,정치,세대
"('갈등', '구조')",27,갈등,구조
"('기준', '세대')",27,기준,세대
"('문화', '세대')",27,문화,세대
"('기간', '업무')",26,기간,업무
"('기간', '인사')",26,기간,인사
"('수준', '세대')",26,수준,세대
"('개선', '사회')",26,개선,사회
"('사회', '경쟁')",26,사회,경쟁
"('조직', '사회')",26,조직,사회
"('기간', '사회')",25,기간,사회
"('기간', '세대')",25,기간,세대
"('혁신', '업무')",25,혁신,업무
"('업무', '세대')",25,업무,세대
"('세대', '공직')",25,세대,공직
"('세대', '마련')",25,세대,마련
"('청년', '경제')",25,청년,경제
"('노동', '상황')",25,노동,상황
"('사회', '개인')",25,사회,개인
"('가능', '세대')",25,가능,세대
"('경제', '국민')",25,경제,국민
"('혁신', '공직')",24,혁신,공직
"('업무', '근무')",24,업무,근무
"('사회', '마련')",24,사회,마련
"('생활', '세대')",24,생활,세대
"('청년', '구조')",24,청년,구조
"('사회', '정치')",24,사회,정치
"('사회', '변화')",24,사회,변화
"('사회', '기업')",24,사회,기업
"('현실', '세대')",24,현실,세대
"('의미', '세대')",24,의미,세대
"('세대', '정도')",24,세대,정도
"('국민', '갈등')",24,국민,갈등
"('진행', '세대')",24,진행,세대
"('세대', '자리')",24,세대,자리
"('기회', '세대')",24,기회,세대
"('세대', '미래')",24,세대,미래
"('임금', '세대')",23,임금,세대
"('인사', '근무')",23,인사,근무
"('인사', '공직')",23,인사,공직
"('사회', '승진')",23,사회,승진
"('청년', '미래')",23,청년,미래
"('방식', '상황')",23,방식,상황
"('사회', '고민')",23,사회,고민
"('사회', '미래')",23,사회,미래
"('정치', '갈등')",23,정치,갈등
"('정치', '상황')",23,정치,상황
"('변화', '세대')",23,변화,세대
"('취업', '세대')",23,취업,세대
"('증가', '세대')",23,증가,세대
"('퇴직', '업무')",23,퇴직,업무
"('세대', '복지')",23,세대,복지
"('인사', '지원')",23,인사,지원
"('문화', '사회')",23,문화,사회
"('보상', '세대')",23,보상,세대
"('개인', '세대')",23,개인,세대
"('세대', '지원')",23,세대,지원
"('사회', '진행')",23,사회,진행
"('해결', '업무')",22,해결,업무
"('해결', '사회')",22,해결,사회
"('해결', '구조')",22,해결,구조
"('지급', '사회')",22,지급,사회
"('업무', '인사')",22,업무,인사
"('업무', '승진')",22,업무,승진
"('수준', '사회')",22,수준,사회
"('개선', '근무')",22,개선,근무
"('사회', '연금')",22,사회,연금
"('사회', '환경')",22,사회,환경
"('근무', '공직')",22,근무,공직
"('기간', '가능')",22,기간,가능
"('체계', '세대')",22,체계,세대
"('청년', '노동')",22,청년,노동
"('청년', '취업')",22,청년,취업
"('청년', '생각')",22,청년,생각
"('인구', '사회')",22,인구,사회
"('인구', '세대')",22,인구,세대
"('노력', '세대')",22,노력,세대
"('조직', '근무')",22,조직,근무
"('혁신', '국민')",22,혁신,국민
"('위기', '세대')",22,위기,세대
"('사회', '자리')",22,사회,자리
"('세대', '경쟁')",22,세대,경쟁
"('강조', '세대')",22,강조,세대
"('직장', '세대')",22,직장,세대
"('기간', '혁신')",21,기간,혁신
"('혁신', '근무')",21,혁신,근무
"('생각', '사회')",21,생각,사회
"('교수', '세대')",21,교수,세대
"('시대', '세대')",21,시대,세대
"('세대', '환경')",21,세대,환경
"('세대', '개혁')",21,세대,개혁
"('청년', '기업')",21,청년,기업
"('청년', '고용')",21,청년,고용
"('방식', '사회')",21,방식,사회
"('인구', '갈등')",21,인구,갈등
"('사회', '복지')",21,사회,복지
"('취업', '갈등')",21,취업,갈등
"('임금', '상황')",21,임금,상황
"('가능', '국민')",21,가능,국민
"('해결', '국민')",21,해결,국민
"('국민', '구조')",21,국민,구조
"('직원', '세대')",21,직원,세대
"('혁신', '지원')",21,혁신,지원
"('개선', '지원')",21,개선,지원
"('기간', '조직')",21,기간,조직
"('대학', '세대')",21,대학,세대
"('경제', '사회')",21,경제,사회
"('직장', '사회')",21,직장,사회
"('확산', '사회')",21,확산,사회
"('지속', '사회')",21,지속,사회
"('공정', '세대')",21,공정,세대
"('기간', '개선')",20,기간,개선
"('기간', '근무')",20,기간,근무
"('혁신', '지급')",20,혁신,지급
"('혁신', '수준')",20,혁신,수준
"('혁신', '이탈')",20,혁신,이탈
"('지급', '업무')",20,지급,업무
"('지급', '세대')",20,지급,세대
"('업무', '마련')",20,업무,마련
"('업무', '구조')",20,업무,구조
"('개선', '세대')",20,개선,세대
"('인사', '승진')",20,인사,승진
"('시대', '사회')",20,시대,사회
"('근무', '승진')",20,근무,승진
"('기간', '상황')",20,기간,상황
"('생활', '사회')",20,생활,사회
"('청년', '정치')",20,청년,정치
"('청년', '수준')",20,청년,수준
"('청년', '업무')",20,청년,업무
"('자체', '세대')",20,자체,세대
"('노동', '갈등')",20,노동,갈등
"('사회', '취업')",20,사회,취업
"('사회', '여성')",20,사회,여성
"('사회', '부족')",20,사회,부족
"('사회', '원인')",20,사회,원인
"('사회', '노력')",20,사회,노력
"('사회', '정도')",20,사회,정도
"('경제', '미래')",20,경제,미래
"('경제', '상황')",20,경제,상황
"('경제', '고용')",20,경제,고용
"('경제', '교수')",20,경제,교수
"('경제', '구조')",20,경제,구조
"('미래', '상황')",20,미래,상황
"('반대', '세대')",20,반대,세대
"('선택', '세대')",20,선택,세대
"('국민', '시대')",20,국민,시대
"('고용', '세대')",20,고용,세대
"('가능', '사회')",20,가능,사회
"('사회', '발언')",20,사회,발언
"('업무', '문화')",20,업무,문화
"('중심', '상황')",20,중심,상황
"('혁신', '개선')",19,혁신,개선
"('혁신', '마련')",19,혁신,마련
"('생각', '구조')",19,생각,구조
"('지급', '인사')",19,지급,인사
"('업무', '개선')",19,업무,개선
"('업무', '공직')",19,업무,공직
"('개선', '인사')",19,개선,인사
"('사회', '전문가')",19,사회,전문가
"('사회', '개혁')",19,사회,개혁
