키워드,연결중심성,매개중심성,근접중심성,위세중심성,정부
공공,0.53125,0.080645,1.172881,0.18263,박근혜정부
공무원,0.5,0.084677,1.166081,0.27902,박근혜정부
승진,0.46875,0.038306,1.047311,0.287194,박근혜정부
청렴,0.4375,0.018145,0.913207,0.385488,박근혜정부
징계,0.40625,0.020161,0.882451,0.271146,박근혜정부
개혁,0.375,0.100806,1.190209,0.119605,박근혜정부
비리,0.375,0.052419,1.040703,0.251915,박근혜정부
행정,0.375,0.030242,1.064447,0.202436,박근혜정부
복지,0.375,0.022177,1.096993,0.128424,박근혜정부
급여,0.375,0.004032,0.866235,0.202784,박근혜정부
노동,0.375,0.018145,0.989765,0.142564,박근혜정부
노조,0.375,0.014113,0.97251,0.176847,박근혜정부
임용,0.375,0.006048,0.848001,0.318531,박근혜정부
투명,0.3125,0.08871,1.131074,0.150291,박근혜정부
예산,0.3125,0.16129,1.174205,0.087444,박근혜정부
효율,0.3125,0.215726,1.121335,0.03114,박근혜정부
채용,0.28125,0.002016,0.850535,0.191634,박근혜정부
부패,0.28125,0.010081,0.938029,0.241231,박근혜정부
연금,0.28125,0.002016,0.964589,0.170186,박근혜정부
규제,0.28125,0.060484,1.096241,0.056692,박근혜정부
근무,0.28125,0.004032,0.815344,0.191823,박근혜정부
감사,0.28125,0.050403,1.014358,0.134311,박근혜정부
정책,0.25,0.064516,1.156055,0.048178,박근혜정부
공정,0.25,0.022177,0.939334,0.116743,박근혜정부
인사,0.25,0.032258,0.930592,0.138039,박근혜정부
체계,0.21875,0.030242,1.052269,0.048295,박근혜정부
디지털,0.1875,0.0,0.789899,0.03385,박근혜정부
조직,0.1875,0.02621,0.983403,0.049312,박근혜정부
혁신,0.1875,0.030242,0.835199,0.014225,박근혜정부
데이터,0.125,0.0,0.588626,0.013686,박근혜정부
스마트,0.125,0.0,0.466432,0.015378,박근혜정부
소통,0.09375,0.0,0.76615,0.009783,박근혜정부
성과,0.03125,0.0,0.774733,0.001171,박근혜정부
승진,0.53125,0.064516,1.105577,0.289191,문재인정부
청렴,0.53125,0.044355,1.086214,0.366114,문재인정부
공무원,0.53125,0.040323,1.123728,0.258087,문재인정부
비리,0.5,0.006048,0.963653,0.32832,문재인정부
공공,0.46875,0.076613,1.179848,0.170438,문재인정부
개혁,0.4375,0.15121,1.268108,0.151672,문재인정부
징계,0.4375,0.0,0.962354,0.243788,문재인정부
임용,0.40625,0.010081,0.91741,0.291025,문재인정부
인사,0.40625,0.040323,1.141062,0.188736,문재인정부
행정,0.375,0.050403,1.197544,0.172633,문재인정부
복지,0.375,0.058468,1.188314,0.118744,문재인정부
부패,0.375,0.004032,0.924705,0.30031,문재인정부
급여,0.375,0.010081,0.980586,0.170627,문재인정부
채용,0.375,0.008065,0.997749,0.228841,문재인정부
노조,0.375,0.030242,1.087836,0.145567,문재인정부
근무,0.375,0.016129,1.008286,0.175699,문재인정부
연금,0.34375,0.010081,0.981992,0.144601,문재인정부
공정,0.3125,0.056452,1.141868,0.136683,문재인정부
노동,0.3125,0.0,0.924708,0.122123,문재인정부
투명,0.3125,0.147177,1.180956,0.129883,문재인정부
조직,0.28125,0.010081,1.01652,0.11178,문재인정부
예산,0.28125,0.018145,1.046219,0.074178,문재인정부
감사,0.28125,0.052419,1.108385,0.121233,문재인정부
체계,0.25,0.122984,1.14891,0.025786,문재인정부
규제,0.25,0.078629,1.164232,0.023331,문재인정부
정책,0.21875,0.03629,1.132383,0.029628,문재인정부
혁신,0.21875,0.006048,0.984047,0.024577,문재인정부
데이터,0.21875,0.0,0.990939,0.014284,문재인정부
디지털,0.21875,0.014113,0.940733,0.026851,문재인정부
효율,0.1875,0.0,0.875497,0.012099,문재인정부
스마트,0.15625,0.0,0.762053,0.011704,문재인정부
소통,0.125,0.066532,0.918055,0.022871,문재인정부
성과,0.03125,0.0,0.699226,0.000655,문재인정부
