키워드,Δ연결중심성,Δ매개중심성,Δ근접중심성,Δ위세중심성,Δ종합
데이터,0.09375,0.0,0.402313,0.000598,0.12416524999999999
인사,0.15625,0.008065,0.21047,0.050697,0.10637049999999999
스마트,0.03125,0.0,0.295621,-0.003674,0.08079925
공정,0.0625,0.034275,0.202534,0.01994,0.07981225
채용,0.09375,0.006049,0.147214,0.037207,0.07105500000000001
근무,0.09375,0.012097,0.192942,-0.016124,0.07066624999999999
청렴,0.09375,0.02621,0.173007,-0.019374,0.06839825
소통,0.03125,0.066532,0.151905,0.013088,0.06569375
개혁,0.0625,0.050404,0.077899,0.032067,0.0557175
체계,0.03125,0.092742,0.096641,-0.022509,0.049531000000000006
디지털,0.03125,0.014113,0.150834,-0.006999,0.0472995
조직,0.09375,-0.016129,0.033117,0.062468,0.0433015
혁신,0.03125,-0.024194,0.148848,0.010352,0.041564000000000004
승진,0.0625,0.02621,0.058266,0.001997,0.03724325
부패,0.09375,-0.006049,-0.013324,0.059079,0.033364
행정,0.0,0.020161,0.133097,-0.029803,0.030863750000000002
복지,0.0,0.036291,0.091321,-0.00968,0.029483000000000002
노조,0.0,0.016129,0.115326,-0.03128,0.025043749999999997
급여,0.0,0.006049,0.114351,-0.032157,0.022060749999999997
투명,0.0,0.058467,0.049882,-0.020408,0.02198525
감사,0.0,0.002016,0.094027,-0.013078,0.020741250000000003
비리,0.125,-0.046371,-0.07705,0.076405,0.019496000000000003
임용,0.03125,0.004033,0.069409,-0.027506,0.0192965
징계,0.03125,-0.020161,0.079903,-0.027358,0.0159085
연금,0.0625,0.008065,0.017403,-0.025585,0.015595750000000002
규제,-0.03125,0.018145,0.067991,-0.033361,0.005381249999999999
공공,-0.0625,-0.004032,0.006967,-0.012192,-0.017939249999999997
성과,0.0,0.0,-0.075507,-0.000516,-0.019005750000000002
공무원,0.03125,-0.044354,-0.042353,-0.020933,-0.0190975
정책,-0.03125,-0.028226,-0.023672,-0.01855,-0.0254245
노동,-0.0625,-0.018145,-0.065057,-0.020441,-0.041535749999999996
예산,-0.03125,-0.143145,-0.127986,-0.013266,-0.07891175
효율,-0.125,-0.215726,-0.245838,-0.019041,-0.15140125
