키워드,연결중심성(박근혜),매개중심성(박근혜),근접중심성(박근혜),위세중심성(박근혜),연결중심성(문재인),매개중심성(문재인),근접중심성(문재인),위세중심성(문재인),Δ연결중심성,Δ매개중심성,Δ근접중심성,Δ위세중심성
개혁,0.375,0.100806,1.190209,0.119605,0.4375,0.15121,1.268108,0.151672,0.0625,0.050404,0.077899,0.032067
공공,0.53125,0.080645,1.172881,0.18263,0.46875,0.076613,1.179848,0.170438,-0.0625,-0.004032,0.006967,-0.012192
공무원,0.5,0.084677,1.166081,0.27902,0.53125,0.040323,1.123728,0.258087,0.03125,-0.044354,-0.042353,-0.020933
공정,0.25,0.022177,0.939334,0.116743,0.3125,0.056452,1.141868,0.136683,0.0625,0.034275,0.202534,0.01994
규제,0.28125,0.060484,1.096241,0.056692,0.25,0.078629,1.164232,0.023331,-0.03125,0.018145,0.067991,-0.033361
근무,0.28125,0.004032,0.815344,0.191823,0.375,0.016129,1.008286,0.175699,0.09375,0.012097,0.192942,-0.016124
노동,0.375,0.018145,0.989765,0.142564,0.3125,0.0,0.924708,0.122123,-0.0625,-0.018145,-0.065057,-0.020441
부패,0.28125,0.010081,0.938029,0.241231,0.375,0.004032,0.924705,0.30031,0.09375,-0.006049,-0.013324,0.059079
비리,0.375,0.052419,1.040703,0.251915,0.5,0.006048,0.963653,0.32832,0.125,-0.046371,-0.07705,0.076405
성과,0.03125,0.0,0.774733,0.001171,0.03125,0.0,0.699226,0.000655,0.0,0.0,-0.075507,-0.000516
소통,0.09375,0.0,0.76615,0.009783,0.125,0.066532,0.918055,0.022871,0.03125,0.066532,0.151905,0.013088
승진,0.46875,0.038306,1.047311,0.287194,0.53125,0.064516,1.105577,0.289191,0.0625,0.02621,0.058266,0.001997
연금,0.28125,0.002016,0.964589,0.170186,0.34375,0.010081,0.981992,0.144601,0.0625,0.008065,0.017403,-0.025585
인사,0.25,0.032258,0.930592,0.138039,0.40625,0.040323,1.141062,0.188736,0.15625,0.008065,0.21047,0.050697
임용,0.375,0.006048,0.848001,0.318531,0.40625,0.010081,0.91741,0.291025,0.03125,0.004033,0.069409,-0.027506
조직,0.1875,0.02621,0.983403,0.049312,0.28125,0.010081,1.01652,0.11178,0.09375,-0.016129,0.033117,0.062468
참여,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
청렴,0.4375,0.018145,0.913207,0.385488,0.53125,0.044355,1.086214,0.366114,0.09375,0.02621,0.173007,-0.019374
체계,0.21875,0.030242,1.052269,0.048295,0.25,0.122984,1.14891,0.025786,0.03125,0.092742,0.096641,-0.022509
혁신,0.1875,0.030242,0.835199,0.014225,0.21875,0.006048,0.984047,0.024577,0.03125,-0.024194,0.148848,0.010352
