키워드1,키워드2,PMI_박근혜,PMI_문재인,ΔPMI,공동출현_박근혜,공동출현_문재인,강화_시기
경영,연금,-0.922,0.279,1.201,767,1253,문재인정부
개혁,인권,-0.471,0.434,0.906,1418,4221,문재인정부
공정성,청년,-2.119,-1.298,0.821,167,789,문재인정부
개혁,공정성,-0.402,0.368,0.77,750,2276,문재인정부
개혁,승진,-0.826,-0.098,0.729,738,1429,문재인정부
연금,청년,-0.441,0.231,0.673,1091,1611,문재인정부
공정성,승진,-1.127,-0.461,0.666,106,352,문재인정부
개혁,조직,-0.383,0.254,0.637,5163,9559,문재인정부
개혁,여성,-1.117,-0.541,0.576,2092,4292,문재인정부
승진,인권,-0.889,-0.318,0.571,248,688,문재인정부
개혁,공정,-0.013,0.546,0.559,2600,7983,문재인정부
승진,연금,-0.361,0.172,0.533,368,386,문재인정부
개혁,통제,-0.005,0.528,0.533,1883,3847,문재인정부
노동,연금,0.202,0.729,0.527,1368,1310,문재인정부
여성,연금,-0.791,-0.265,0.526,947,1164,문재인정부
공정성,여성,-1.439,-0.954,0.485,296,1021,문재인정부
공정,연금,-1.033,-0.57,0.463,463,825,문재인정부
공무원,인권,-0.548,-0.087,0.461,1401,3235,문재인정부
규제,혁신,0.199,0.656,0.456,2805,10787,문재인정부
공정성,인권,-0.381,0.075,0.456,267,1042,문재인정부
승진,조직,0.198,0.637,0.439,1804,3423,문재인정부
공무원,여성,-0.444,-0.024,0.42,3474,6756,문재인정부
개혁,근무,-1.155,-0.736,0.419,1356,2720,문재인정부
연금,조직,-1.254,-0.846,0.408,1019,999,문재인정부
경영,노동,-0.278,0.101,0.378,1952,3133,문재인정부
근무,노동,0.132,0.507,0.375,1946,4080,문재인정부
노동,노조,1.642,2.014,0.372,3883,5363,문재인정부
승진,혁신,-0.057,0.312,0.369,1155,2749,문재인정부
소통,승진,-0.737,-0.411,0.325,394,869,문재인정부
근무,연금,-0.623,-0.302,0.321,708,823,문재인정부
개혁,혁신,0.406,0.106,-0.301,6817,8676,박근혜정부
공정,규제,0.472,0.167,-0.305,1728,5213,박근혜정부
노조,인권,-0.106,-0.42,-0.314,690,879,박근혜정부
인권,체계,-0.099,-0.417,-0.319,824,1579,박근혜정부
경영,통제,-0.605,-0.936,-0.332,893,1155,박근혜정부
개혁,노조,0.222,-0.113,-0.335,2468,1938,박근혜정부
노동,체계,0.326,-0.023,-0.349,1853,2344,박근혜정부
공공,소통,-0.207,-0.558,-0.351,1247,2282,박근혜정부
공공,성과,-0.014,-0.374,-0.359,3266,4945,박근혜정부
규제,조직,-0.694,-1.056,-0.362,1976,3273,박근혜정부
공공,노동,0.679,0.317,-0.363,2701,3507,박근혜정부
청년,통제,-0.746,-1.139,-0.393,825,1333,박근혜정부
규제,인권,-0.707,-1.102,-0.395,572,1236,박근혜정부
노동,청년,0.988,0.584,-0.404,4784,5819,박근혜정부
노조,성과,-0.099,-0.52,-0.42,2271,2108,박근혜정부
개혁,경영,-0.523,-0.96,-0.436,2800,2371,박근혜정부
소통,연금,-0.753,-1.194,-0.441,602,412,박근혜정부
노조,통제,-0.18,-0.644,-0.463,630,643,박근혜정부
개혁,노동,0.751,0.252,-0.499,5545,4202,박근혜정부
공무원,규제,-0.3,-0.802,-0.502,2251,2984,박근혜정부
규제,차별,0.127,-0.397,-0.524,835,1555,박근혜정부
개혁,규제,0.717,0.189,-0.528,4374,5391,박근혜정부
공정,공정성,2.479,1.928,-0.552,2588,6589,박근혜정부
경영,공공,0.434,-0.134,-0.568,2784,3354,박근혜정부
개혁,연금,1.407,0.814,-0.592,5363,2193,박근혜정부
개혁,공공,0.211,-0.421,-0.631,3320,3320,박근혜정부
개혁,공무원,0.311,-0.363,-0.674,7241,4764,박근혜정부
공무원,연금,1.594,0.788,-0.805,6361,2370,박근혜정부
규제,승진,-0.397,-1.25,-0.853,472,546,박근혜정부
공정성,규제,-0.178,-1.116,-0.938,416,691,박근혜정부
