,박근혜정부,문재인정부,importance,증감률(%)
싱가포르,0.001672525544716776,0.003658913455885647,0.005331439000602423,118.76577415774206
공정,0.003762399642967451,0.0074306019083812055,0.011193001551348657,97.49634843470797
인프라,0.001989634263247638,0.0033910248876397185,0.005380659150887357,70.43458439967856
규제,0.006383606653884654,0.01010807972483179,0.016491686378716446,58.344338441978735
범위,0.0023733989055878166,0.0033068629504065974,0.005680261855994414,39.33026355666878
공공,0.004737146923801796,0.006556210526759551,0.011293357450561346,38.39998277904089
통제,0.002575366185552295,0.003461311167934248,0.006036677353486543,34.400738324206884
공정성,0.002408326172400797,0.0032312472203255547,0.005639573392726352,34.16983369426283
차별,0.00240938053296645,0.003145989513607222,0.0055553700465736724,30.57254636874867
근무,0.00424213733388058,0.005329180294631747,0.009571317628512328,25.62488847471547
최소,0.0023807613508317876,0.00296102507802656,0.0053417864288583475,24.373032055146584
체계,0.00349221578046913,0.0043428557975094045,0.007835071577978536,24.358174594984586
발굴,0.002841055226526054,0.003485919869582223,0.006326975096108277,22.698067852932517
개편,0.004020850124708181,0.004925606159818813,0.008946456284526994,22.501610531337473
인재,0.003910902708597972,0.004769581103768064,0.008680483812366035,21.95601525147429
인력,0.004162533232241085,0.005076052495715864,0.009238585727956949,21.94623351950863
독립,0.0025083555375629498,0.0030552780888304268,0.0055636336263933765,21.804028299706353
주문,0.0025129003815196056,0.003011826192681761,0.005524726574201367,19.85457978483191
진영,0.002488192340682392,0.0029756523697730772,0.0054638447104554694,19.590930376266574
체결,0.0027699212659009196,0.0033006693435142114,0.006070590609415131,19.16112505243594
청년,0.012391912437567515,0.014746012623520202,0.02713792506108772,18.997069240224455
예고,0.002503222561840143,0.00296529467690247,0.005468517238742613,18.459090378390233
주도,0.004443020751562784,0.005240432632909587,0.009683453384472372,17.947516474378887
장애인,0.0033016667065905634,0.0038915600100804903,0.007193226716671054,17.866530934585914
대상자,0.0025421239041618603,0.0029843786428835283,0.005526502547045389,17.397056768068104
폐지,0.00465552798980857,0.005453813786395841,0.01010934177620441,17.147051813130563
반발,0.004168533331574438,0.0048807766263899485,0.009049309957964387,17.086184472141397
전기,0.002864129448921545,0.003349837975365742,0.006213967424287287,16.95833010016657
계약,0.004856036405251423,0.005679251353679581,0.010535287758931004,16.952404795357705
여성,0.010548366396621156,0.012333672269915203,0.02288203866653636,16.924951278388615
직장,0.0024958111561579573,0.0029168310324578796,0.005412642188615837,16.86905979489405
인권,0.004176704404320426,0.004866404099584537,0.009043108503904964,16.51301189882336
소통,0.004570806930247649,0.005313552223611099,0.009884359153858747,16.249763000232605
응답,0.002489033018834157,0.0028895829723685354,0.005378615991202693,16.092593007142693
산하,0.0026386094677093106,0.003060128735893796,0.005698738203603107,15.975053274951836
행위,0.0044615271683730836,0.005098847044258982,0.009560374212632065,14.284791996869092
수용,0.00279152883227296,0.0031880622990885462,0.005979591131361506,14.204885231033598
가량,0.0025525252811810515,0.002912926190045646,0.005465451471226698,14.119386457078981
의도,0.0025684274128409375,0.002926058602804497,0.005494486015645434,13.924130702529123
정확,0.002500973358470607,0.0028405067729240924,0.0053414801313947,13.57605083250933
직무,0.0029064073967119794,0.003289378590724243,0.006195785987436222,13.17678982119021
육성,0.00337132241779269,0.003809032434959018,0.007180354852751708,12.983333034427192
대로,0.002647203808430132,0.002990782488202188,0.0056379862966323205,12.978928130804091
원칙,0.003861802887661893,0.0043462289337847446,0.008208031821446637,12.544038632073859
네트워크,0.0029827370632866507,0.003349550958035755,0.006332288021322406,12.297895757023767
흐름,0.0025836683623852888,0.0029011292146989475,0.005484797577084236,12.287213673993874
부정,0.0036727461416570188,0.004100386133278282,0.0077731322749353005,11.643603318260553
참여,0.00969546966897444,0.010780535400273758,0.020476005069248196,11.191471567092147
법인,0.002736164909328665,0.0030362506433388075,0.005772415552667472,10.967384786897599
임금,0.005127541702706834,0.00566568525349715,0.010793226956203984,10.495156977586925
사실상,0.0027069459151686185,0.0029880164973676592,0.005694962412536277,10.383309863120504
갈등,0.005541747208920269,0.006089110438109239,0.011630857647029508,9.87708765040577
권리,0.0026012027299435626,0.002845011448079665,0.005446214178023228,9.372922584215202
변경,0.0029771987171915413,0.0032551560044933943,0.006232354721684936,9.336202037734868
도로,0.002608834688187914,0.00282991442522745,0.005438749113415364,8.474271598753415
