,박근혜정부,문재인정부,importance,증감률(%)
플랫폼,0.0014933680483118,0.00805689680726971,0.009550264855581511,439.51179793740386
인공지능,0.0013314643523257936,0.005352563953565913,0.006684028305891707,302.0058024246829
디지털,0.002418247508413491,0.0072597552814603165,0.009678002789873807,200.20728879911601
데이터,0.0020726482422585377,0.005406560633463175,0.007479208875721712,160.85278356600037
공정,0.003713817022226668,0.007134919348509781,0.01084873637073645,92.11822515240522
주택,0.005829607638629751,0.011161267169810968,0.01699087480844072,91.45829122102673
규제,0.006163917196915079,0.009651724298953474,0.015815641495868553,56.58426274421684
산업,0.008524345055704678,0.012679844156218133,0.02120418921192281,48.74860265930348
절차,0.004270969690918105,0.006048988477267755,0.01031995816818586,41.63033022993519
판단,0.006720594657175135,0.009259739875100243,0.01598033453227538,37.781555761799
정책,0.013544216443042406,0.018601652275639556,0.03214586871868196,37.34018762816751
활용,0.006425295102030237,0.008788332518075606,0.015213627620105842,36.77710328508814
공공,0.004503182118703848,0.00600776947648887,0.010510951595192717,33.411647988558094
통제,0.002574753410597301,0.0034098429487158903,0.005984596359313191,32.43376762533784
공직자,0.0029999880066555926,0.0038806182256863253,0.0068806062323419175,29.354457987065928
보건,0.002645551770229071,0.0033767270925606527,0.006022278862789724,27.63791397165784
일자리,0.009727479637041864,0.012323891927293173,0.022051371564335037,26.69152120724336
고용,0.0052808188200792455,0.006595064137498361,0.011875882957577607,24.88715031127301
근무,0.004121864648447462,0.005117563922861763,0.009239428571309225,24.156525246148984
성장,0.008701498629046874,0.01073194370334409,0.019433442332390964,23.334429629389287
체계,0.003373278093445054,0.004135209013541548,0.007508487106986602,22.587254859807622
전략,0.007260802643253836,0.008811446185686203,0.01607224882894004,21.356365385762174
권한,0.0031505974567617523,0.00382289919569175,0.006973496652453502,21.33886502977765
인력,0.003952232637792653,0.004785397463346643,0.008737630101139296,21.080864966980243
업무,0.006822568679439357,0.008215942385483519,0.015038511064922877,20.423007396660775
개편,0.003933567763689951,0.004734013455239481,0.008667581218929432,20.349101366405794
비판,0.008955238480080254,0.010764239810512194,0.019719478290592448,20.200481924136632
발굴,0.002756951602143955,0.0032966345951541036,0.006053586197298059,19.57535245052767
인재,0.0037266778562564363,0.004447694284718137,0.008174372140974573,19.34743104374427
추진,0.010881365432332032,0.012874967038866354,0.023756332471198384,18.321244874385815
장애인,0.0032486742103732405,0.0037920952733804312,0.007040769483753671,16.72747181825773
약속,0.004180913417750512,0.004876128986494051,0.009057042404244563,16.62831776883797
역할,0.0073735530685704416,0.00859632054439511,0.015969873612965552,16.58315149363581
청년,0.011972526242414669,0.013954609080411212,0.02592713532282588,16.555259916446744
여성,0.010528840061117454,0.01223987819011565,0.022768718251233104,16.25096514968429
폐지,0.004573849263987438,0.005306964858166452,0.00988081412215389,16.028416151604663
전기,0.0028432458016594514,0.003298332338710623,0.006141578140370075,16.00588091207457
가치,0.006610517568721783,0.007603876333152342,0.014214393901874126,15.026943867916176
계약,0.00488079612104829,0.00561369996835989,0.010494496089408181,15.016071745979593
논란,0.00874647133000509,0.010044489407601135,0.018790960737606225,14.84047713211095
반발,0.004186312105166257,0.004792618503558302,0.00897893060872456,14.483067271640177
