,박근혜정부,문재인정부,importance,증감률(%)
플랫폼,0.0015029541132241893,0.008127553599675295,0.009630507712899484,440.77190568644744
인공지능,0.0013363941822544727,0.00539097035893866,0.006727364541193133,303.39672459844076
디지털,0.002433176406548171,0.007327067129769874,0.009760243536318046,201.1317679248924
데이터,0.002083528768848413,0.005450204834335568,0.007533733603183981,161.58529298100115
공정,0.0037502817617745994,0.00722620986348672,0.01097649162526132,92.68445206280563
주택,0.005863054658936063,0.011262431405810687,0.017125486064746752,92.09153011468632
규제,0.006215143629509736,0.009757245461621015,0.015972389091130752,56.991471851000284
산업,0.008628446616765805,0.012865391684967555,0.021493838301733362,49.104378301060656
절차,0.0043069574631154845,0.006115604455859799,0.010422561918975283,41.9936116906994
판단,0.006768591683899138,0.009342742617252094,0.016111334301151234,38.03082019966201
활용,0.006480803702840128,0.008874477904631506,0.015355281607471634,36.93483573252466
공공,0.004560163513325672,0.0060951689355923,0.010655332448917972,33.66119258182405
통제,0.0025904519808077754,0.0034374727593718558,0.006027924740179632,32.69779887214723
공직자,0.003033629560147996,0.00392663194281107,0.0069602615029590665,29.436764277162077
보건,0.002678361509773404,0.0034159402841994553,0.0060943017939728596,27.538432423502552
일자리,0.009830485314179077,0.012482479617968018,0.022312964932147093,26.977246992717813
고용,0.005333328787236056,0.006681828569989475,0.01201515735722553,25.28439247887182
근무,0.004164801862613269,0.0051710844903584095,0.009335886352971678,24.161596660296652
성장,0.008781630133655129,0.010880327594562055,0.019661957728217182,23.898723004328996
체계,0.003402543459604256,0.0041815743839673895,0.007584117843571646,22.895546628925086
권한,0.0031778956261907083,0.003872465983263325,0.007050361609454034,21.856298594211136
전략,0.007336427495087723,0.008922543935461505,0.01625897143054923,21.619738509455775
인력,0.004008470601920933,0.004848381611767059,0.008856852213687993,20.953403261673525
개편,0.003978506919201084,0.004810607147478126,0.00878911406667921,20.914887046222212
비판,0.009034879080087424,0.010908263921574181,0.019943143001661605,20.7350294882821
업무,0.006899302922454364,0.008315653492675013,0.015214956415129377,20.528893804778686
발굴,0.0027869289868064774,0.0033477485764451813,0.006134677563251659,20.123210612601337
인재,0.0037837483768855956,0.004516696091042708,0.008300444467928304,19.370942281325846
청년,0.01203395827245618,0.014103862473565846,0.026137820746022028,17.200526661683284
폐지,0.004610907232163244,0.005402676699868085,0.01001358393203133,17.17166335904302
역할,0.007448392475247886,0.00871076541368285,0.016159157888930735,16.948260213596654
약속,0.004214438612526421,0.0049249636264997185,0.00913940223902614,16.859303914439042
장애인,0.003272949693823168,0.0038245673748962456,0.007097517068719413,16.853839278804404
체결,0.002757970955128712,0.0032145768751905483,0.00597254783031926,16.55586398445327
전기,0.00285899996769572,0.0033178931848205423,0.006176893152516263,16.050829741515464
가치,0.006656775734736007,0.007677035591111523,0.01433381132584753,15.32663705420711
논란,0.00882171328348382,0.010172809131330753,0.01899452241481457,15.315571980518577
계약,0.00489992790614468,0.005649765124955295,0.010549693031099976,15.303025537789916
