정부,토픽,키워드,확률
문재인정부,0,성과,0.0032692694
문재인정부,0,공격,0.0028469122
문재인정부,0,동맹,0.0026788185
문재인정부,0,국무,0.0025257387
문재인정부,0,훈련,0.0025046505
문재인정부,0,대사,0.0023845755
문재인정부,0,무기,0.0023079664
문재인정부,0,주석,0.0022600496
문재인정부,0,인권,0.002154827
문재인정부,0,외교부,0.0021454392
문재인정부,0,한일,0.002126343
문재인정부,0,국무부,0.0020373121
문재인정부,0,통일부,0.001972219
문재인정부,0,재개,0.0019294334
문재인정부,0,노동당,0.0018809605
문재인정부,1,여성,0.016541762
문재인정부,1,공무원,0.008799527
문재인정부,1,장애인,0.003780118
문재인정부,1,조직,0.0032901403
문재인정부,1,김씨,0.0032611028
문재인정부,1,촬영기자,0.0027873507
문재인정부,1,가해자,0.0026369176
문재인정부,1,최형진,0.0025598472
문재인정부,1,인권,0.0025203777
문재인정부,1,폭력,0.0024025592
문재인정부,1,성범죄,0.0023860948
문재인정부,1,여가부,0.0023581008
문재인정부,1,행위,0.002236826
문재인정부,1,청원,0.0020554846
문재인정부,1,경찰관,0.0019477226
문재인정부,2,혁신,0.010544693
문재인정부,2,참여,0.0067732832
문재인정부,2,인재,0.0060181348
문재인정부,2,우수,0.0044270074
문재인정부,2,성과,0.0039987913
문재인정부,2,청년,0.0038774086
문재인정부,2,중심,0.0037612647
문재인정부,2,선발,0.003757547
문재인정부,2,양성,0.0037483745
문재인정부,2,육성,0.0036076023
문재인정부,2,학습,0.0032634921
문재인정부,2,경쟁력,0.0031799506
문재인정부,2,경영,0.003083319
문재인정부,2,대학원,0.0027522908
문재인정부,2,창출,0.002717523
문재인정부,3,경영,0.0052315514
문재인정부,3,규제,0.0051599573
문재인정부,3,인수,0.0039922823
문재인정부,3,혁신,0.0037084324
문재인정부,3,주가,0.0033782513
문재인정부,3,카카오,0.0031331403
문재인정부,3,경쟁력,0.002891967
문재인정부,3,김혜민,0.0028651247
문재인정부,3,개인,0.0028248162
문재인정부,3,지분,0.002765294
문재인정부,3,가상,0.0027408502
문재인정부,3,화폐,0.002693723
문재인정부,3,결제,0.0026158474
문재인정부,3,테슬라,0.0025913347
문재인정부,3,이용자,0.002486448
문재인정부,4,코로나,0.079771996
문재인정부,4,오미크론,0.004938116
문재인정부,4,감염병,0.003151707
문재인정부,4,유행,0.0031335915
문재인정부,4,사망자,0.0030990914
문재인정부,4,증상,0.0030429796
문재인정부,4,변이,0.0029975646
문재인정부,4,병상,0.0026710522
문재인정부,4,식품,0.0025503694
문재인정부,4,질환,0.002548463
문재인정부,4,팬데믹,0.002440943
문재인정부,4,진료,0.0023618152
문재인정부,4,집단,0.0022138255
문재인정부,4,의료진,0.0021747919
문재인정부,4,질병,0.002167162
문재인정부,5,청년,0.010224861
문재인정부,5,노동자,0.008374174
문재인정부,5,공무원,0.0076169027
문재인정부,5,임금,0.0059813466
문재인정부,5,노동,0.0059797936
문재인정부,5,노조,0.005959703
문재인정부,5,연금,0.0044162306
문재인정부,5,공공,0.004369885
문재인정부,5,근로자,0.0042184535
문재인정부,5,근무,0.003298358
문재인정부,5,폐지,0.0027301018
문재인정부,5,인력,0.002610787
문재인정부,5,보상,0.0025356452
문재인정부,5,응답,0.002477211
문재인정부,5,근로,0.0024114675
문재인정부,6,개혁,0.00408177
문재인정부,6,대장동,0.0033342512
문재인정부,6,조직,0.0024105504
문재인정부,6,공정,0.0023949298
문재인정부,6,갈등,0.0023876515
문재인정부,6,인수위,0.0020418863
문재인정부,6,이동형,0.0018885299
문재인정부,6,참여,0.0018286908
문재인정부,6,송영길,0.001716289
문재인정부,6,단일,0.0016217597
문재인정부,6,주자,0.0016020001
문재인정부,6,반발,0.0015944235
문재인정부,6,심상정,0.0015877568
문재인정부,6,진영,0.001575236
문재인정부,6,공무원,0.0015531117
문재인정부,7,규제,0.0059706545
문재인정부,7,물가,0.0056260065
문재인정부,7,세금,0.004913933
문재인정부,7,연준,0.0046278737
문재인정부,7,종부세,0.004138305
문재인정부,7,전세,0.0039621675
문재인정부,7,지수,0.0039101094
문재인정부,7,인플레이션,0.0030089354
문재인정부,7,임대료,0.002997977
문재인정부,7,월세,0.0029098347
문재인정부,7,연방,0.002856656
문재인정부,7,부채,0.0028236203
문재인정부,7,계약,0.0028167733
문재인정부,7,임대차,0.0027755161
문재인정부,7,자금,0.0027361119
문재인정부,8,공무원,0.0046417136
문재인정부,8,공사,0.0044886013
문재인정부,8,기후,0.0034604438
문재인정부,8,충북,0.0032483607
문재인정부,8,강원도,0.0026916424
문재인정부,8,환경부,0.002658588
문재인정부,8,전북,0.0026316445
문재인정부,8,강원,0.0024404612
문재인정부,8,부지,0.00239541
문재인정부,8,공항,0.0023918832
문재인정부,8,가스,0.0023701566
문재인정부,8,배출,0.0023233104
문재인정부,8,도로,0.002288343
문재인정부,8,전기,0.002228142
문재인정부,8,교통,0.0021985422
문재인정부,9,여성,0.0025294677
문재인정부,9,청년,0.0024215109
문재인정부,9,전시,0.0019086087
문재인정부,9,패션,0.0014880854
문재인정부,9,일상,0.0013924653
문재인정부,9,소리,0.0013851526
문재인정부,9,참여,0.0013680276
문재인정부,9,이미지,0.0013478417
문재인정부,9,여행,0.0013382569
문재인정부,9,느낌,0.0013159234
문재인정부,9,이현웅,0.0013091136
문재인정부,9,주인공,0.0013038437
문재인정부,9,캐릭터,0.00128961
문재인정부,9,미디어,0.0012769263
문재인정부,9,장면,0.0012733699
