정부,토픽,키워드,확률
박근혜정부,0,개혁,0.0076273642
박근혜정부,0,혁신,0.0051797414
박근혜정부,0,노조,0.0042072954
박근혜정부,0,노동자,0.0035835577
박근혜정부,0,노동,0.0034782914
박근혜정부,0,갈등,0.003242471
박근혜정부,0,제안,0.0026570384
박근혜정부,0,의원들,0.0026261685
박근혜정부,0,연대,0.0025291988
박근혜정부,0,지역구,0.002462772
박근혜정부,0,참여,0.0024554632
박근혜정부,0,박지원,0.002173942
박근혜정부,0,주자,0.0021662842
박근혜정부,0,중심,0.002116576
박근혜정부,0,탈당,0.0020885954
박근혜정부,1,혁신,0.006291834
박근혜정부,1,참여,0.0043264143
박근혜정부,1,성과,0.003690603
박근혜정부,1,중심,0.0036846653
박근혜정부,1,경쟁력,0.0029043253
박근혜정부,1,설립,0.0028622933
박근혜정부,1,인재,0.0025524688
박근혜정부,1,경영,0.0025059998
박근혜정부,1,발굴,0.0022368818
박근혜정부,1,육성,0.002204432
박근혜정부,1,조직,0.002182273
박근혜정부,1,우수,0.00214353
박근혜정부,1,아이디어,0.002115899
박근혜정부,1,박사,0.0020692793
박근혜정부,1,네트워크,0.002039985
박근혜정부,2,공무원,0.016606338
박근혜정부,2,조직,0.00649391
박근혜정부,2,승진,0.003939418
박근혜정부,2,진술,0.0027826952
박근혜정부,2,피의자,0.0025631106
박근혜정부,2,소환,0.0025557713
박근혜정부,2,적발,0.0025387977
박근혜정부,2,문체부,0.0024904544
박근혜정부,2,블랙리스트,0.0024512305
박근혜정부,2,근무,0.0023823131
박근혜정부,2,행정,0.0023817641
박근혜정부,2,사무실,0.0023767573
박근혜정부,2,행위,0.0023272326
박근혜정부,2,유출,0.0022753463
박근혜정부,2,압수수색,0.0021903764
박근혜정부,3,집회,0.0051572644
박근혜정부,3,선발,0.0036898537
박근혜정부,3,인권,0.0036056307
박근혜정부,3,성적,0.0031036865
박근혜정부,3,참여,0.0030948906
박근혜정부,3,고교,0.0029110478
박근혜정부,3,폐지,0.0028671687
박근혜정부,3,학생부,0.002770301
박근혜정부,3,입시,0.002632503
박근혜정부,3,고등학교,0.0025596565
박근혜정부,3,학년,0.0023576964
박근혜정부,3,교육청,0.002290635
박근혜정부,3,헌법재판소,0.002283825
박근혜정부,3,과목,0.0022469917
박근혜정부,3,중학교,0.00224442
박근혜정부,4,연금,0.008893994
박근혜정부,4,여성,0.0062026884
박근혜정부,4,임금,0.0046258327
박근혜정부,4,공무원,0.0043582865
박근혜정부,4,보험료,0.0041869134
박근혜정부,4,노동자,0.003955894
박근혜정부,4,노동,0.0032614528
박근혜정부,4,청년,0.0028445572
박근혜정부,4,어린이집,0.0027966818
박근혜정부,4,출산,0.0025531636
박근혜정부,4,김우성,0.0025008942
박근혜정부,4,근로자,0.0024385923
