토픽,키워드,확률
0,코로나,0.00351
0,정책,0.00239
0,성과,0.00228
0,인사,0.00209
0,의미,0.00193
0,역할,0.00187
0,참여,0.00139
0,통일부,0.00137
0,추진,0.00128
0,공격,0.00126
0,비판,0.00121
0,논란,0.00116
0,여성,0.00115
0,성장,0.00113
0,신뢰,0.00112
1,공무원,0.01082
1,조직,0.00309
1,직원,0.00301
1,관리,0.0021
1,논란,0.00201
1,정보,0.00196
1,운영,0.0019
1,업무,0.00186
1,공사,0.0017
1,경찰청,0.00157
1,근무,0.00145
1,인사,0.00135
1,판단,0.00132
1,행위,0.0013
1,수색,0.00128
2,교육,0.00839
2,여성,0.00517
2,마음,0.00259
2,청년,0.0025
2,운영,0.00216
2,능력,0.00192
2,정책,0.00186
2,의미,0.00185
2,참여,0.00185
2,경험,0.00179
2,코로나,0.00172
2,현실,0.00158
2,이해,0.00157
2,역할,0.00139
2,산업,0.00133
3,정책,0.00721
3,혁신,0.00437
3,인사,0.00383
3,추진,0.00369
3,개혁,0.00314
3,논란,0.00301
3,비판,0.00285
3,책임,0.00284
3,규제,0.00247
3,참여,0.00245
3,역할,0.00244
3,운영,0.00235
3,조직,0.00213
3,공무원,0.00212
3,판단,0.00206
4,임금,0.00564
4,노동자,0.0053
4,노조,0.00499
4,접종,0.00478
4,노동,0.00371
4,직원,0.00342
4,인사,0.00329
4,장애인,0.00328
4,고용,0.00314
4,코로나,0.00293
4,업무,0.00277
4,근로자,0.00276
4,경영,0.00231
4,정책,0.00227
4,근무,0.00222
5,코로나,0.01513
5,정책,0.00706
5,확진자,0.00385
5,방역,0.00367
5,일자리,0.00357
5,성장,0.0035
5,의료,0.0033
5,추진,0.0024
5,고용,0.00239
5,산업,0.00238
5,관리,0.00226
5,의미,0.00184
5,성과,0.00172
5,개선,0.00167
5,전략,0.00167
6,주택,0.00803
6,연금,0.00532
6,청년,0.00514
6,추진,0.00356
6,운영,0.00303
6,정책,0.00277
6,복지,0.00271
6,개선,0.00256
6,세금,0.00254
6,보험료,0.00252
6,공무원,0.00245
6,코로나,0.00237
6,교육,0.0022
6,취업,0.00204
6,일자리,0.00198
7,개혁,0.00469
7,일자리,0.00453
7,비판,0.0044
7,판단,0.00405
7,인사,0.00346
7,논란,0.00278
7,정책,0.00246
7,정보,0.00242
7,공무원,0.00236
7,조직,0.00206
7,책임,0.00204
7,절차,0.00185
7,추진,0.00182
7,의미,0.00167
7,산업,0.00164
8,산업,0.00487
8,혁신,0.00406
8,정보,0.0035
8,활용,0.00332
8,운영,0.00303
8,성장,0.00292
8,데이터,0.00264
8,플랫폼,0.00263
8,코로나,0.0025
8,디지털,0.0025
8,전략,0.00246
8,관리,0.00235
8,경영,0.00231
8,추진,0.00222
8,정책,0.00208
9,여성,0.00198
9,조직,0.00195
9,역할,0.00176
9,참여,0.00173
9,코로나,0.00172
9,의미,0.0016
9,비판,0.00157
9,가치,0.00151
9,비례,0.00142
9,인권,0.00135
9,청년,0.0013
9,공격,0.00129
9,주행,0.00114
9,판단,0.00113
9,독립,0.00111
