단어,log_odds_z,강화_정부
코로나,302.816924321301,문재인정부
확진자,126.9298154155011,문재인정부
방역,115.57014702317647,문재인정부
접종,113.08048656340245,문재인정부
플랫폼,93.97099678816792,문재인정부
디지털,74.66593602601422,문재인정부
소상공인,66.9256246015208,문재인정부
주택,64.21037138828329,문재인정부
인공지능,61.25427151378492,문재인정부
뉴딜,60.470569007318566,문재인정부
데이터,60.11862868538936,문재인정부
모빌리티,54.62434884733644,문재인정부
팬데믹,54.2993394464519,문재인정부
종부세,54.26486540714512,문재인정부
공정,53.75449137163296,문재인정부
정책,50.556077588321386,문재인정부
텍스트는,50.52634629228105,문재인정부
화폐,50.0663492324345,문재인정부
산업,49.65658607339578,문재인정부
가상,46.76107525814633,문재인정부
수소,46.27903103679537,문재인정부
혁신성장,45.893494960948786,문재인정부
감염병,45.35654465828995,문재인정부
보유세,43.707309151960175,문재인정부
블록체인,43.113626816261025,문재인정부
클라우드,43.07064239702994,문재인정부
마크롱,42.98499326209693,문재인정부
비대면,42.49736354476416,문재인정부
규제,42.34557642341857,문재인정부
암호화폐,41.333302492248315,문재인정부
판단,40.72752967189362,문재인정부
다주택자,40.199482719400315,문재인정부
공급망,39.75392781456536,문재인정부
소득주도성장,39.647406226833894,문재인정부
밀레니얼,39.413213606388005,문재인정부
재택근무,39.14832805753242,문재인정부
블록체,39.131813309002254,문재인정부
재난지원금,39.048860874042106,문재인정부
갑질,38.719411845549786,문재인정부
최저임금,38.48300377690927,문재인정부
바이오,37.93864435008462,문재인정부
가상화폐,36.7067186571436,문재인정부
공시가격,36.676738014928844,문재인정부
활용,36.63063533162662,문재인정부
자가격리,35.87905611626842,문재인정부
물량,35.673182482924986,문재인정부
일자리,35.17690515656683,문재인정부
집단감염,35.17491758036583,문재인정부
특활비,34.73333625542434,문재인정부
중기부,34.70041478863869,문재인정부
행정처,34.643459554429946,문재인정부
델타,34.561155193710555,문재인정부
개학,34.5335733701231,문재인정부
자율주행,34.41109973030189,문재인정부
시세,34.360824786797195,문재인정부
공매도,34.3552284077649,문재인정부
김의겸,34.333783873319526,문재인정부
거래소,34.30744791945083,문재인정부
비트코인,34.25988469644262,문재인정부
류재복,34.22129416933293,문재인정부
고위공직자범죄수사처,34.15479072401934,문재인정부
공수처장,34.06297489156508,문재인정부
등교,34.0237596938716,문재인정부
착용,33.86086551887729,문재인정부
우한,33.80867235331879,문재인정부
윤호중,33.70351552834487,문재인정부
화이자,33.70267869657842,문재인정부
협업,33.65412032703626,문재인정부
미세,33.5979191367147,문재인정부
협치,33.59409200296375,문재인정부
탄소중립,33.59150760098462,문재인정부
김현미,33.56734350196884,문재인정부
기후위기,33.536144445737385,문재인정부
보복,33.43665178791237,문재인정부
기업부,33.397979660215555,문재인정부
이인영,33.378695113773325,문재인정부
젠더,33.25297535940732,문재인정부
암호,33.131380380810505,문재인정부
기후,33.1052830272153,문재인정부
월성,32.95861655965596,문재인정부
김성태,32.80998924091373,문재인정부
열린민주당,32.70374848475541,문재인정부
솔루션,32.68388720001837,문재인정부
누적,32.549876160064215,문재인정부
김상조,32.527440231217206,문재인정부
발사체,32.50743092839545,문재인정부
모더,32.42096878734215,문재인정부
김영철,32.39747402574077,문재인정부
성범죄,32.2938651552212,문재인정부
신혼부부,32.265124327659755,문재인정부
기무사,32.168065331937406,문재인정부
김태년,32.16189792973528,문재인정부
주택자,32.13011534703674,문재인정부
고민정,32.10306064726007,문재인정부
카풀,32.03685737805906,문재인정부
송영무,31.844472300726476,문재인정부
홍영표,31.597096557133003,문재인정부
수사권,31.578459757471443,문재인정부
패스트,31.561268267666446,문재인정부
박용진,31.536411448392364,문재인정부
북미정상회담,31.487327729124402,문재인정부
감염자,31.45966084318783,문재인정부
