단어,log_odds_z,강화_정부
코로나,303.2655296040334,문재인정부
확진자,127.12178292370955,문재인정부
방역,115.75518262993037,문재인정부
접종,113.25302190194624,문재인정부
플랫폼,94.15609694076889,문재인정부
디지털,74.85938293714621,문재인정부
소상공인,67.05140910510782,문재인정부
주택,64.47972022067952,문재인정부
인공지능,61.39964478879836,문재인정부
뉴딜,60.56548054181891,문재인정부
데이터,60.294754062488856,문재인정부
팬데믹,54.37790377505085,문재인정부
종부세,54.34884380361219,문재인정부
공정,53.9697252468708,문재인정부
텍스트는,50.59934458871096,문재인정부
화폐,50.17198515331079,문재인정부
산업,49.98629889698411,문재인정부
가상,46.8669297565623,문재인정부
혁신성장,45.96107876354355,문재인정부
감염병,45.457533309351874,문재인정부
보유세,43.775521248706994,문재인정부
블록체인,43.178461241663626,문재인정부
마크롱,43.04883949017252,문재인정부
규제,42.61395780367496,문재인정부
비대면,42.561261662375145,문재인정부
암호화폐,41.39305851161013,문재인정부
판단,41.03621928043314,문재인정부
다주택자,40.27489844617593,문재인정부
소득주도성장,39.70762691637285,문재인정부
밀레니얼,39.48095411537602,문재인정부
재택근무,39.21535388211468,문재인정부
재난지원금,39.10601716629847,문재인정부
갑질,38.81936456988546,문재인정부
최저임금,38.60591649510569,문재인정부
활용,36.915583369103395,문재인정부
가상화폐,36.76393898961333,문재인정부
공시가격,36.73504947504062,문재인정부
자가격리,35.93679102374203,문재인정부
물량,35.79415285952577,문재인정부
일자리,35.502424741118155,문재인정부
집단감염,35.22636732731018,문재인정부
특활비,34.78360051154632,문재인정부
중기부,34.75045770299336,문재인정부
행정처,34.70466681031714,문재인정부
델타,34.61416560398603,문재인정부
개학,34.58898158592005,문재인정부
자율주행,34.4777027523095,문재인정부
시세,34.45101677901513,문재인정부
공매도,34.428271084441064,문재인정부
거래소,34.403024264766835,문재인정부
김의겸,34.38720654017327,문재인정부
비트코인,34.32885696167154,문재인정부
류재복,34.27265185040714,문재인정부
고위공직자범죄수사처,34.20404691536834,문재인정부
공수처장,34.112714122121524,문재인정부
등교,34.09650284970524,문재인정부
착용,33.95284478846582,문재인정부
우한,33.864717302741475,문재인정부
협업,33.76416410291867,문재인정부
윤호중,33.76090746241629,문재인정부
화이자,33.7547822493402,문재인정부
미세,33.70123636802892,문재인정부
협치,33.687618029918866,문재인정부
탄소중립,33.640332127842804,문재인정부
김현미,33.629309255246184,문재인정부
기후위기,33.58466625258476,문재인정부
보복,33.53571976220223,문재인정부
이인영,33.44831533968412,문재인정부
기업부,33.4462126125346,문재인정부
젠더,33.315368922601756,문재인정부
기후,33.21987841251365,문재인정부
암호,33.19716562848316,문재인정부
월성,33.043925844822134,문재인정부
김성태,32.89011595979691,문재인정부
솔루션,32.777612217208905,문재인정부
열린민주당,32.75088947111252,문재인정부
누적,32.66361299439966,문재인정부
김상조,32.60049856488687,문재인정부
발사체,32.5756375726105,문재인정부
김영철,32.46790080058183,문재인정부
모더,32.46770190490024,문재인정부
성범죄,32.3905229558481,문재인정부
신혼부부,32.346555932641664,문재인정부
기무사,32.23315016223444,문재인정부
김태년,32.22125256144164,문재인정부
주택자,32.18722609575293,문재인정부
고민정,32.15139920391494,문재인정부
카풀,32.08566701113584,문재인정부
송영무,31.891650339960268,문재인정부
수사권,31.661730835063683,문재인정부
홍영표,31.659281578879302,문재인정부
패스트,31.617759547404905,문재인정부
박용진,31.599850694590586,문재인정부
임대차,31.53610462602813,문재인정부
북미정상회담,31.532714251318495,문재인정부
감염자,31.5315666223527,문재인정부
중립,31.420519037049765,문재인정부
먼지,31.361260619589853,문재인정부
코인,31.301193126052663,문재인정부
코스닥,31.294253105092704,문재인정부
확진자가,31.201036714968968,문재인정부
현근택,31.199757485149,문재인정부
수출규제,31.195332367421823,문재인정부
김은혜,31.15651898316121,문재인정부
도쿄올림픽,30.928087386314584,문재인정부
하태경,30.90671805410857,문재인정부
수칙,30.89586569435924,문재인정부
언택트,30.89367618276373,문재인정부
정의용,30.85921723982294,문재인정부
가해자,30.742077491384006,문재인정부
신속,30.732623974738367,문재인정부
대유행,30.714079393104655,문재인정부
면역,30.64497791656233,문재인정부
