단어,log_odds_z,강화_정부
코로나,398.44952821942303,문재인정부
확진자,169.11949041817044,문재인정부
방역,156.27088103449583,문재인정부
접종,151.0514441498063,문재인정부
정책,150.64062019326065,문재인정부
플랫폼,134.73153933695858,문재인정부
평가,125.2920462475977,문재인정부
주택,123.50356096056669,문재인정부
산업,122.22351099000785,문재인정부
디지털,117.29753528766908,문재인정부
판단,108.7433589663612,문재인정부
일자리,106.91156077516258,문재인정부
추진,104.94068808285188,문재인정부
규제,101.51491371862922,문재인정부
공정,101.2186363992539,문재인정부
활용,99.45987806285727,문재인정부
여성,99.1890519848909,문재인정부
데이터,98.97466158112977,문재인정부
성장,95.5212926905424,문재인정부
인사,95.35724043072248,문재인정부
소상공인,94.69493882967427,문재인정부
청년,94.37000213192584,문재인정부
운영,93.72640282460468,문재인정부
비판,93.44584239920445,문재인정부
인공지능,93.34299446628472,문재인정부
논란,91.6988324009253,문재인정부
업무,84.39441229641996,문재인정부
전략,84.05385705388079,문재인정부
참여,83.50643894530889,문재인정부
역할,83.18213037826642,문재인정부
혁신,82.82180555049767,문재인정부
개선,82.33478054736769,문재인정부
뉴딜,81.44001715267834,문재인정부
관리,80.35939274544084,문재인정부
절차,77.47222982203493,문재인정부
의미,75.99175325419965,문재인정부
정보,74.53350139475181,문재인정부
가치,73.59241614119928,문재인정부
화폐,73.40809014440497,문재인정부
모빌리티,72.97832687462403,문재인정부
종부세,72.82500945158559,문재인정부
고용,72.29351504130689,문재인정부
팬데믹,71.66430542364871,문재인정부
가상,70.15326588027293,문재인정부
직원,69.5892413285741,문재인정부
공공,68.03134093560189,문재인정부
감염병,67.67584235604602,문재인정부
텍스트는,66.66371684218338,문재인정부
최저임금,65.64543716007717,문재인정부
경험,65.60741906223609,문재인정부
