단어,log_odds_z,강화_정부
임금피크제,-44.91282050694625,박근혜정부
공무원연금,-38.829116920405276,박근혜정부
민영화,-32.474334164270125,박근혜정부
김희옥,-28.430727279423834,박근혜정부
경제활성화,-27.800790987686153,박근혜정부
성과연봉제,-27.41346690094832,박근혜정부
피크제,-25.228439762585957,박근혜정부
대우증권,-24.938359297100302,박근혜정부
팽목항,-24.865316131965116,박근혜정부
김윤경,-24.595079469862387,박근혜정부
더민주당,-24.555065463966702,박근혜정부
연금,-24.27400751808339,박근혜정부
김황식,-24.26140175199025,박근혜정부
올랑드,-24.186846636302175,박근혜정부
동양그룹,-24.15561830693199,박근혜정부
서두원,-23.885424422146556,박근혜정부
자원외교,-23.84222928381642,박근혜정부
문형표,-23.8362288520547,박근혜정부
차은택,-23.449018956246295,박근혜정부
버냉키,-23.27963545741491,박근혜정부
임종룡,-23.147957638998545,박근혜정부
금수원,-22.925640281316767,박근혜정부
무상급식,-22.88325860677947,박근혜정부
류길재,-22.72068266096434,박근혜정부
테러방지법,-22.548873440533765,박근혜정부
국가안전처,-22.542787176402168,박근혜정부
황병서,-22.526075748148063,박근혜정부
박병호,-22.52443169480622,박근혜정부
손연재,-22.49735814450372,박근혜정부
획정,-22.45745503914462,박근혜정부
패권주의,-22.447802396199762,박근혜정부
새누리당의,-22.428238127580038,박근혜정부
구원파,-22.379707210432283,박근혜정부
전승절,-22.256732327248642,박근혜정부
복면가왕,-22.25056709962867,박근혜정부
무수단,-22.209325283104526,박근혜정부
청해진해운,-22.156613387012573,박근혜정부
하야,-22.076970011996554,박근혜정부
집필진,-21.93977817206134,박근혜정부
한진해운,-21.826232941429005,박근혜정부
이진아,-21.8197948289472,박근혜정부
새정치,-21.766847075941058,박근혜정부
담뱃값,-21.76433539553649,박근혜정부
중소기업청,-21.694222158872794,박근혜정부
박기춘,-21.57865358812047,박근혜정부
상향식,-21.529406947265777,박근혜정부
경제혁신,-21.524842387221657,박근혜정부
국제시장,-21.522425283030817,박근혜정부
박한철,-21.512207381244895,박근혜정부
황우,-21.47889792942528,박근혜정부
