키워드,Log-Odds(문재인-박근혜),빈도_문재인,빈도_박근혜
열린민주당,12.7667885426677,5808,0
모더,12.749420994923778,5708,0
북미정상회담,12.69098399307943,5384,0
언택트,12.65003824484655,5168,0
과기정통부,12.62733672728398,5052,0
방역수칙,12.610167244160662,4966,0
경사노위,12.535346636913726,4608,0
조주빈,12.489157357032507,4400,0
정의연,12.47219618251605,4326,0
빅테크,12.467562264663997,4306,0
일상회복,12.447624979288005,4221,0
백운규,12.445015566371984,4210,0
박사방,12.427040290236018,4135,0
버닝썬,12.350679019383227,3831,0
모더나,12.266866281228598,3523,0
고교학점제,12.212625739851974,3337,0
방역패스,12.182200607603136,3237,0
에스퍼,12.074331549682,2906,0
젤렌스키,12.063606695887737,2875,0
긴급재난지원금,12.0538198641426,2847,0
수사심의위,12.004871802569093,2711,0
새보수당,11.986256293357812,2661,0
생활치료센터,11.92863377287335,2512,0
가상자산,11.927040153387157,2508,0
중수청,11.92424519367173,2501,0
더불어시민당,11.920238794107615,2491,0
위성정당,11.916619259166765,2482,0
베이조스,11.892973736994701,2424,0
카카오모빌리티,11.875495212460711,2382,0
펭수,11.857278306307842,2339,0
합동구조팀,-10.663543451435121,0,258
원낙연,-10.697831218457136,0,267
기초공천,-10.723709709647178,0,274
비정상칼럼쇼,-10.752487638877014,0,282
오보카타,-10.752487638877014,0,282
새정치연합의,-10.759554556383629,0,284
척사광,-10.766571882818273,0,286
세결여,-10.86631896623054,0,316
새정치연합이,-10.869478426695768,0,317
이지맘,-10.882017382867476,0,321
효근,-10.885127708537523,0,322
조임정,-10.9187176271343,0,333
한수진의,-10.939520136517114,0,340
청춘리포트,-11.002216943328337,0,362
공무원연금개혁안,-11.010469858042185,0,365
뉴스클립,-11.037497799856247,0,375
문안박,-11.055991893849127,0,382
홍헌호,-11.058606206075087,0,383
땅콩리턴,-11.06899564006394,0,387
블래터,-11.079278242680608,0,391
제주의소리,-11.081832457243882,0,392
누르시면,-11.167352539732864,0,427
한겨레사회정책연구소,-11.20413745072851,0,443
복면검사,-11.494068634207949,0,592
언딘,-11.537049746131268,0,618
아이쉐아이아,-11.538666535217676,0,619
공투본,-11.557866817850893,0,631
한겨레경제연구소,-11.671589917642832,0,707
독서통,-11.695350312019743,0,724
케이티김,-11.735950738094196,0,754
