키워드,Log-Odds(코로나中-前),빈도_코로나中,빈도_코로나前
열린민주당,13.264793446656581,5808,0
모더,13.247425898912658,5708,0
조주빈,12.987162261021389,4400,0
일상회복,12.945629883276885,4221,0
박사방,12.9250451942249,4135,0
미래한국당,12.77644176281325,3564,0
방역패스,12.680205511592016,3237,0
긴급재난지원금,12.551824768131482,2847,0
생활치료센터,12.426638676862233,2512,0
중수청,12.422250097660612,2501,0
더불어시민당,12.418243698096497,2491,0
백순영,12.338903604352819,2301,0
노바백스,12.312035777515181,2240,0
미접종자,12.304417580769977,2223,0
국민의힘은,12.297647104762584,2208,0
방대본,12.289004834198801,2189,0
렘데시비르,12.179015094012753,1961,0
중대재해처벌법,12.149517635828705,1904,0
윤핵관,12.140018933796627,1886,0
방송로,12.139488573298173,1885,0
재택치료,12.138427007707852,1883,0
질병청,12.075975515445403,1769,0
집합금지,12.068599637330014,1756,0
중대재해법,11.97930828952773,1606,0
코백스,11.950888495035164,1561,0
키이우,11.944461778999356,1551,0
인국공,11.934092343048404,1535,0
부스터샷,11.919656491542188,1513,0
코로나로,11.913690321814197,1504,0
등교수업,11.894897948595565,1476,0
신한반도체제,-10.063621574685502,0,233
규제프리존법,-10.072168270016123,0,235
자문안,-10.076414380595097,0,236
노어트,-10.105642798343029,0,243
초월회,-10.11383922962413,0,245
확인해주시기,-10.177098924350807,0,261
헬스플러스라이프,-10.177098924350807,0,261
미수습자,-10.192307764709136,0,265
마이크로닷,-10.2035644968334,0,268
비펜트린,-10.2035644968334,0,268
양일혁,-10.232977300530685,0,276
개혁입법연대,-10.272057261944022,0,287
나워트,-10.28245560873046,0,290
브런슨,-10.32960079918788,0,304
동정민,-10.355575442163738,0,312
장재숙,-10.380892448891338,0,320
공영주,-10.45321093030416,0,344
박유천,-10.484686161678598,0,355
전종철,-10.64565040591245,0,417
박순빈,-10.659936023014616,0,423
개정협상,-10.75028885571097,0,463
신율의출발새아침,-10.788428263496279,0,481
차현주,-10.817118167970671,0,495
꿀딴지곰,-10.850884359684612,0,512
신율의,-10.879759727279238,0,527
김호성의출발새아침,-11.011151776917727,0,601
김호성의,-11.130226247437765,0,677
류여해,-11.157904231633132,0,696
국정기획위,-11.695097169211513,0,1191
백병규,-12.211445670464736,0,1996
