키워드,TF-IDF,시기,순위
평가,0.017117697037506527,2017-2019(코로나前),1
정책,0.014010988928788737,2017-2019(코로나前),2
일자리,0.012568762007299925,2017-2019(코로나前),3
공무원,0.011033031184657573,2017-2019(코로나前),4
교육,0.010755008552006085,2017-2019(코로나前),5
혁신,0.010588910133313601,2017-2019(코로나前),6
청년,0.01043668476553327,2017-2019(코로나前),7
산업,0.010146875687854006,2017-2019(코로나前),8
여성,0.009950957835069817,2017-2019(코로나前),9
인사,0.009875918337705267,2017-2019(코로나前),10
추진,0.009574699897126405,2017-2019(코로나前),11
성장,0.009509739818181885,2017-2019(코로나前),12
운영,0.009099167767949369,2017-2019(코로나前),13
개혁,0.008771591060754895,2017-2019(코로나前),14
성과,0.008377399230038496,2017-2019(코로나前),15
조직,0.008204278549075466,2017-2019(코로나前),16
참여,0.008186229120403411,2017-2019(코로나前),17
개선,0.008168809540702648,2017-2019(코로나前),18
규제,0.008094142117702608,2017-2019(코로나前),19
정보,0.007897099482419815,2017-2019(코로나前),20
비판,0.007606423291521632,2017-2019(코로나前),21
관리,0.007556387853999921,2017-2019(코로나前),22
논란,0.0073312630221877536,2017-2019(코로나前),23
역할,0.00699681027078644,2017-2019(코로나前),24
의미,0.006977132863529817,2017-2019(코로나前),25
전략,0.006887156546630189,2017-2019(코로나前),26
주택,0.0065622182487031005,2017-2019(코로나前),27
임금,0.006519124433671479,2017-2019(코로나前),28
판단,0.006518525266657641,2017-2019(코로나前),29
활용,0.006337809473590621,2017-2019(코로나前),30
업무,0.00622544784177493,2017-2019(코로나前),31
가치,0.0062046224110822385,2017-2019(코로나前),32
직원,0.0061598454652351045,2017-2019(코로나前),33
고용,0.005872257095769603,2017-2019(코로나前),34
책임,0.005722768464982103,2017-2019(코로나前),35
경영,0.0055920831288541134,2017-2019(코로나前),36
마음,0.00523592074054261,2017-2019(코로나前),37
개인,0.005138400690691001,2017-2019(코로나前),38
노동자,0.005112484822193775,2017-2019(코로나前),39
경험,0.005046632908717057,2017-2019(코로나前),40
경쟁력,0.00478697531811915,2017-2019(코로나前),41
갈등,0.004744770689543368,2017-2019(코로나前),42
제안,0.004644126589808161,2017-2019(코로나前),43
공정,0.0046347859497074765,2017-2019(코로나前),44
노조,0.0046173641868662435,2017-2019(코로나前),45
경쟁,0.004560374700093443,2017-2019(코로나前),46
주도,0.004452395743247538,2017-2019(코로나前),47
노동,0.004450666762696781,2017-2019(코로나前),48
능력,0.004406098883257441,2017-2019(코로나前),49
취업,0.0043904874073801975,2017-2019(코로나前),50
코로나,0.03807422347617153,2020-2022(코로나中),1
평가,0.0166421034680854,2020-2022(코로나中),2
정책,0.014459357538627074,2020-2022(코로나中),3
공무원,0.014298958262212709,2020-2022(코로나中),4
청년,0.012566472642261994,2020-2022(코로나中),5
확진자,0.011233816307500165,2020-2022(코로나中),6
여성,0.010352799400500864,2020-2022(코로나中),7
추진,0.010153739881971142,2020-2022(코로나中),8
교육,0.009979568170414156,2020-2022(코로나中),9
인사,0.009722968950677516,2020-2022(코로나中),10
운영,0.009605074245345836,2020-2022(코로나中),11
방역,0.009371090027468644,2020-2022(코로나中),12
주택,0.009170637401357706,2020-2022(코로나中),13
산업,0.009024520155167151,2020-2022(코로나中),14
혁신,0.00886537127467913,2020-2022(코로나中),15
비판,0.008824743193996804,2020-2022(코로나中),16
접종,0.00868304527098589,2020-2022(코로나中),17
참여,0.008326008031362998,2020-2022(코로나中),18
조직,0.008210052681133903,2020-2022(코로나中),19
논란,0.008113668261599148,2020-2022(코로나中),20
관리,0.008018527458886421,2020-2022(코로나中),21
일자리,0.00789312695759098,2020-2022(코로나中),22
정보,0.007870684064522883,2020-2022(코로나中),23
성장,0.007776521371988253,2020-2022(코로나中),24
직원,0.007339741863115279,2020-2022(코로나中),25
개선,0.007095126947513778,2020-2022(코로나中),26
판단,0.0070241611203935,2020-2022(코로나中),27
성과,0.006995192598131113,2020-2022(코로나中),28
활용,0.006851168903843685,2020-2022(코로나中),29
업무,0.006723766393814764,2020-2022(코로나中),30
전략,0.006690179406908616,2020-2022(코로나中),31
디지털,0.006383987677180832,2020-2022(코로나中),32
역할,0.006380162457029933,2020-2022(코로나中),33
규제,0.006325632255482639,2020-2022(코로나中),34
책임,0.006130272054892996,2020-2022(코로나中),35
플랫폼,0.006125642678019017,2020-2022(코로나中),36
가치,0.005915466760257501,2020-2022(코로나中),37
의미,0.005867594547863946,2020-2022(코로나中),38
마음,0.005639255194146429,2020-2022(코로나中),39
공정,0.005593576741009604,2020-2022(코로나中),40
경영,0.005552861106989073,2020-2022(코로나中),41
개혁,0.005545461455420064,2020-2022(코로나中),42
개인,0.0055089798740296575,2020-2022(코로나中),43
공공,0.005326847026003831,2020-2022(코로나中),44
고용,0.00524377824493907,2020-2022(코로나中),45
경험,0.005221393644832173,2020-2022(코로나中),46
노동자,0.005154828950533193,2020-2022(코로나中),47
경쟁,0.005076795397528957,2020-2022(코로나中),48
갈등,0.004938286524064184,2020-2022(코로나中),49
제안,0.0047571538232871625,2020-2022(코로나中),50
