단어,importance
대통령,0.015438759022236837
년,0.013681348144568149
미국,0.012283467703536168
정부,0.012117921811155575
한국,0.011547392669684466
만,0.011344544379629245
중국,0.011241150171268846
대표,0.011052765850250352
일,0.010976189010693794
의원,0.01070941534350053
북한,0.009739255991931888
일본,0.009048849649026481
새누리당,0.00888210184204297
명,0.008738008234210537
앵커,0.008645571362431355
박근혜,0.008612350566237145
서울,0.008585714868724713
경제,0.00801877322325611
공무원,0.007907681387603357
억,0.007815841679212546
평가,0.007779665707866959
기업,0.007750855912480332
국민,0.007187865085652176
시장,0.007150070501805009
국회,0.007146373796745347
월,0.007091776210133031
생각,0.007001133378073595
사회,0.006824787738370091
정치,0.006618523600149689
지원,0.006598866117644096
사람,0.006507857973611606
사업,0.006311901027505118
청와대,0.006278526320725242
조사,0.006071561381336316
지역,0.006024958346416756
인터뷰,0.005941468750862853
세계,0.005900285909076175
교수,0.005809238292531742
검찰,0.005618563234779593
제도,0.005606010757032396
후보,0.005591660573897928
정책,0.00554510583449027
국가,0.005428421345444607
결과,0.005415542975283473
교육,0.005398078257566856
상황,0.00531176133129983
대학,0.005260949977017434
회장,0.005241633591573296
사건,0.00517601447826534
위원장,0.005108939480504048
