단어,빈도
코로나,496130
평가,457937
정책,333216
공무원,206324
추진,204122
운영,201202
교육,197679
여성,186913
인사,182941
산업,181406
청년,179613
일자리,170481
참여,169379
비판,167926
혁신,161097
논란,159411
성장,156879
판단,156637
관리,156496
정보,156334
개선,147284
의미,145148
조직,144614
역할,140498
활용,133213
성과,132504
주택,130810
전략,126114
규제,121294
업무,119192
개혁,118833
직원,114729
책임,112550
가치,108797
개인,102827
마음,101327
경험,94499
확진자,93228
고용,91843
공정,84568
방역,84302
경영,83882
경쟁,82739
갈등,81647
노동자,81312
이해,80406
절차,78869
임금,78670
플랫폼,77121
제안,76529
디지털,76475
공공,75417
접종,75100
능력,72929
인식,71533
현실,71276
계약,67503
행위,66906
주도,66451
근무,66098
노동,65118
폐지,64919
복지,64862
경쟁력,62501
노조,61566
데이터,61201
반발,60396
의료,59525
소통,59306
인력,59232
취업,58893
공격,58849
약속,58782
인권,58257
신뢰,57145
행동,57085
개편,55380
원칙,54985
행정,54799
세금,51848
인재,50153
희망,50046
체계,49629
부정,47198
연금,45982
근로자,45662
권한,45460
인공지능,44544
공사,43818
장애인,43041
대로,41585
허용,39679
영역,39590
차별,38065
육성,37434
통제,37390
정확,37174
불안,37128
원래,36439
소상공인,36423
