단어,빈도
평가,272272
공무원,154617
정책,151147
교육,133805
운영,110434
조직,103480
추진,103162
인사,95611
여성,95444
참여,94912
청년,93963
정보,91930
개혁,90234
혁신,89216
관리,87624
비판,86180
의미,82288
논란,81329
성과,80311
개선,79289
일자리,77945
성장,76736
책임,75431
산업,74053
역할,73697
판단,67250
직원,63733
마음,63329
전략,62717
복지,61653
연금,59651
개인,58640
활용,57718
업무,57592
가치,56827
노동자,54089
경영,54000
경쟁,52513
현실,52096
경험,51071
능력,50945
이해,49247
규제,48576
노동,48021
갈등,46720
임금,46443
고용,45362
제안,45336
취업,45310
노조,42531
인식,41888
주택,41550
경쟁력,36805
행위,36293
주도,36082
공공,35994
의료,35706
계약,35041
신뢰,33959
절차,33710
희망,33525
행동,33317
공격,33216
폐지,32722
소통,32525
약속,31893
반발,31833
인권,31707
근무,31341
원칙,31210
행정,31040
세금,30977
인력,29732
공사,27735
근로자,27653
개편,27408
부정,27335
태도,26057
체계,26034
공정,25970
인재,25397
정규,24717
영역,23479
권한,23378
불안,23351
허용,22942
승진,22348
연계,21864
고통,21817
대로,21412
한계,21229
장애인,21113
자원,21029
형성,20828
공동체,20543
권리,20505
정치적,20417
변경,20362
육성,20299
느낌,20069
