period,month,cluster_id,label_ko,article_count,total_tokens,cluster_tokens,docs_with_cluster,normalized_frequency_per_10k_tokens,article_share
moon_post_covid_2020_2022,2020-01,organizational_culture,조직문화,12540,3852307,14681,5087,38.10963144941459,0.40566188197767145
moon_post_covid_2020_2022,2020-01,fairness,공정성,12540,3852307,8405,2833,21.818094975296624,0.2259170653907496
moon_post_covid_2020_2022,2020-01,performance_npm,성과주의/NPM,12540,3852307,28259,8738,73.35604353443274,0.6968102073365231
moon_post_covid_2020_2022,2020-01,digital_transformation,디지털 전환,12540,3852307,10825,2554,28.100044986030447,0.20366826156299841
moon_post_covid_2020_2022,2020-01,public_health_crisis,방역/위기 대응,12540,3852307,12779,2663,33.17233024263123,0.2123604465709729
moon_post_covid_2020_2022,2020-02,organizational_culture,조직문화,10485,3236318,11712,4078,36.18927435437432,0.3889365760610396
moon_post_covid_2020_2022,2020-02,fairness,공정성,10485,3236318,4901,1937,15.143752869773612,0.18474010491177872
moon_post_covid_2020_2022,2020-02,performance_npm,성과주의/NPM,10485,3236318,20216,7156,62.466049380808684,0.6824988078206963
moon_post_covid_2020_2022,2020-02,digital_transformation,디지털 전환,10485,3236318,8255,2187,25.507382154658472,0.20858369098712445
moon_post_covid_2020_2022,2020-02,public_health_crisis,방역/위기 대응,10485,3236318,57967,4522,179.11404256318446,0.4312827849308536
moon_post_covid_2020_2022,2020-03,organizational_culture,조직문화,11896,3643564,13645,4219,37.44959605485179,0.3546570275722932
moon_post_covid_2020_2022,2020-03,fairness,공정성,11896,3643564,5221,2081,14.329376401786822,0.1749327505043712
moon_post_covid_2020_2022,2020-03,performance_npm,성과주의/NPM,11896,3643564,21002,7710,57.641364334481295,0.6481170141223941
moon_post_covid_2020_2022,2020-03,digital_transformation,디지털 전환,11896,3643564,12811,2751,35.1606284396267,0.2312542030934768
moon_post_covid_2020_2022,2020-03,public_health_crisis,방역/위기 대응,11896,3643564,102891,7503,282.39108740782376,0.6307162071284466
moon_post_covid_2020_2022,2020-04,organizational_culture,조직문화,12155,3706530,11034,3926,29.769083212600467,0.3229946524064171
moon_post_covid_2020_2022,2020-04,fairness,공정성,12155,3706530,5285,2109,14.258619247652117,0.1735088440970794
