period,cluster_id,label_ko,article_count,total_tokens,cluster_tokens,docs_with_cluster,normalized_frequency_per_10k_tokens,article_share
moon_post_covid_2020_2022,organizational_culture,조직문화,349294,106360243,403249,136596,37.913508715846014,0.39106311588518555
moon_post_covid_2020_2022,fairness,공정성,349294,106360243,224815,75622,21.13712733807876,0.21649956769941653
moon_post_covid_2020_2022,performance_npm,성과주의/NPM,349294,106360243,699433,239293,65.76075611260121,0.6850761822418936
moon_post_covid_2020_2022,digital_transformation,디지털 전환,349294,106360243,362981,79073,34.12750758758609,0.22637949692808923
moon_post_covid_2020_2022,public_health_crisis,방역/위기 대응,349294,106360243,1372123,153322,129.00713286260543,0.43894827852754414
moon_pre_covid_2017_2019,organizational_culture,조직문화,339928,104627027,391614,134527,37.42952573812501,0.3957514532489233
moon_pre_covid_2017_2019,fairness,공정성,339928,104627027,242541,75101,23.181486366806542,0.22093207973453202
moon_pre_covid_2017_2019,performance_npm,성과주의/NPM,339928,104627027,739589,242504,70.68814064648897,0.7133981313689958
moon_pre_covid_2017_2019,digital_transformation,디지털 전환,339928,104627027,209688,52785,20.041475516646383,0.15528288343413899
moon_pre_covid_2017_2019,public_health_crisis,방역/위기 대응,339928,104627027,131916,61608,12.6082145103865,0.18123837989221248
park_2013_2017,organizational_culture,조직문화,416527,120358284,452788,165522,37.620011265697336,0.3973860037884699
park_2013_2017,fairness,공정성,416527,120358284,232876,81127,19.348564324828693,0.19477008693314
park_2013_2017,performance_npm,성과주의/NPM,416527,120358284,887553,286559,73.74257678848262,0.6879722082842169
park_2013_2017,digital_transformation,디지털 전환,416527,120358284,144026,48312,11.966438471322839,0.11598767907002427
park_2013_2017,public_health_crisis,방역/위기 대응,416527,120358284,170944,72845,14.202927652242035,0.17488662199569296
