period,year,cluster_id,label_ko,article_count,total_tokens,cluster_tokens,docs_with_cluster,normalized_frequency_per_10k_tokens,article_share
moon_post_covid_2020_2022,2020,organizational_culture,조직문화,146457,44420475,161768,55319,36.41744038081538,0.3777149607051899
moon_post_covid_2020_2022,2020,fairness,공정성,146457,44420475,88941,29894,20.022523397149627,0.20411451825450475
moon_post_covid_2020_2022,2020,performance_npm,성과주의/NPM,146457,44420475,289017,100253,65.06391478254116,0.6845217367554982
moon_post_covid_2020_2022,2020,digital_transformation,디지털 전환,146457,44420475,167712,34831,37.755562046556236,0.23782407122909796
moon_post_covid_2020_2022,2020,public_health_crisis,방역/위기 대응,146457,44420475,694646,70908,156.37968752022576,0.4841557590282472
moon_post_covid_2020_2022,2021,organizational_culture,조직문화,150995,45717250,180229,60834,39.422537444837566,0.4028875128315507
moon_post_covid_2020_2022,2021,fairness,공정성,150995,45717250,102663,33985,22.456075113879333,0.22507367793635552
moon_post_covid_2020_2022,2021,performance_npm,성과주의/NPM,150995,45717250,303530,102866,66.39288233653599,0.681254346170403
moon_post_covid_2020_2022,2021,digital_transformation,디지털 전환,150995,45717250,147912,33730,32.353652067873725,0.22338488029404946
moon_post_covid_2020_2022,2021,public_health_crisis,방역/위기 대응,150995,45717250,547746,62291,119.81166846212315,0.4125368389681778
moon_post_covid_2020_2022,2022,organizational_culture,조직문화,51842,16222518,61252,20443,37.75739376587531,0.3943327803711277
moon_post_covid_2020_2022,2022,fairness,공정성,51842,16222518,33211,11743,20.472160980188153,0.22651518074148375
moon_post_covid_2020_2022,2022,performance_npm,성과주의/NPM,51842,16222518,106886,36174,65.88742881961974,0.6977740056324987
moon_post_covid_2020_2022,2022,digital_transformation,디지털 전환,51842,16222518,47357,10512,29.19213897620579,0.20276995486285251
moon_post_covid_2020_2022,2022,public_health_crisis,방역/위기 대응,51842,16222518,129731,20123,79.96970630576585,0.3881601790054396
moon_pre_covid_2017_2019,2017,organizational_culture,조직문화,70511,22133747,87208,29701,39.40046843401617,0.42122505708329194
moon_pre_covid_2017_2019,2017,fairness,공정성,70511,22133747,57925,16863,26.170444615636022,0.2391541745259605
moon_pre_covid_2017_2019,2017,performance_npm,성과주의/NPM,70511,22133747,156824,50300,70.85289264397935,0.7133638723036122
moon_pre_covid_2017_2019,2017,digital_transformation,디지털 전환,70511,22133747,32512,8956,14.688882094839162,0.12701564294932705
moon_pre_covid_2017_2019,2017,public_health_crisis,방역/위기 대응,70511,22133747,30061,13559,13.581523273036417,0.1922962374664946
moon_pre_covid_2017_2019,2018,organizational_culture,조직문화,129023,39107040,150523,51024,38.49000077735364,0.39546437456887534
moon_pre_covid_2017_2019,2018,fairness,공정성,129023,39107040,89859,27782,22.9777042701263,0.21532594963688645
moon_pre_covid_2017_2019,2018,performance_npm,성과주의/NPM,129023,39107040,271233,91870,69.35656597891327,0.7120435891275199
moon_pre_covid_2017_2019,2018,digital_transformation,디지털 전환,129023,39107040,77053,19231,19.70310205016795,0.14905094440526107
moon_pre_covid_2017_2019,2018,public_health_crisis,방역/위기 대응,129023,39107040,45249,22033,11.57055098007929,0.17076800260418684
moon_pre_covid_2017_2019,2019,organizational_culture,조직문화,140394,43386240,153883,53802,35.46815764629523,0.3832215051925296
moon_pre_covid_2017_2019,2019,fairness,공정성,140394,43386240,94757,30456,21.840334631440754,0.21693234753621948
moon_pre_covid_2017_2019,2019,performance_npm,성과주의/NPM,140394,43386240,311532,100334,71.80433243350888,0.7146601706625639
