token,already_in_base_stopwords,added_by_covid_filter
감염,True,False
감염증,True,False
거리두기,False,True
격리,True,False
델타,False,True
마스크,True,False
바이러스,True,False
방역,False,True
방역당국,True,False
백신,True,False
백신접종,False,True
봉쇄,False,True
비대면,False,True
사회적거리두기,False,True
신종,True,False
신종코로나,False,True
신종코로나바이러스,False,True
오미크론,True,False
위드코로나,False,True
자가격리,False,True
재난지원금,False,True
접종,False,True
중대본,False,True
중앙방역대책본부,False,True
질병관리청,False,True
집합금지,False,True
코로나,False,True
코로나19,False,True
코로나바이러스,True,False
팬데믹,False,True
확진,True,False
확진자,False,True
