condition,topic,문재인정부,박근혜정부,moon_minus_park,abs_gap
covid_filtered_same_topic_space,3,0.119942,0.094783,0.025158999999999987,0.025158999999999987
covid_filtered_same_topic_space,7,0.07645,0.098337,-0.02188699999999999,0.02188699999999999
covid_filtered_same_topic_space,5,0.119851,0.138464,-0.018613000000000005,0.018613000000000005
covid_filtered_same_topic_space,4,0.083673,0.067244,0.016429,0.016429
covid_filtered_same_topic_space,2,0.08957,0.10592,-0.016350000000000003,0.016350000000000003
covid_filtered_same_topic_space,1,0.085018,0.072263,0.012755000000000002,0.012755000000000002
covid_filtered_same_topic_space,0,0.096815,0.103391,-0.0065759999999999985,0.0065759999999999985
covid_filtered_same_topic_space,6,0.16326,0.157514,0.005746000000000001,0.005746000000000001
covid_filtered_same_topic_space,9,0.096313,0.091712,0.004600999999999994,0.004600999999999994
covid_filtered_same_topic_space,8,0.069108,0.070374,-0.0012660000000000032,0.0012660000000000032
original_base,4,0.093704,0.067407,0.026297,0.026297
original_base,3,0.11882,0.094765,0.024054999999999993,0.024054999999999993
original_base,7,0.075713,0.098325,-0.022611999999999993,0.022611999999999993
original_base,5,0.118582,0.138485,-0.01990299999999999,0.01990299999999999
original_base,2,0.088585,0.105899,-0.017313999999999996,0.017313999999999996
original_base,1,0.083634,0.072251,0.011383000000000004,0.011383000000000004
original_base,0,0.095389,0.103334,-0.007944999999999994,0.007944999999999994
original_base,6,0.161732,0.157492,0.004239999999999994,0.004239999999999994
original_base,9,0.095663,0.091688,0.003974999999999992,0.003974999999999992
original_base,8,0.068178,0.070355,-0.0021769999999999984,0.0021769999999999984
