condition,government,topic,mean_topic_share,documents
original_base,박근혜정부,0,0.103334,75383
original_base,박근혜정부,1,0.072251,75383
original_base,박근혜정부,2,0.105899,75383
original_base,박근혜정부,3,0.094765,75383
original_base,박근혜정부,4,0.067407,75383
original_base,박근혜정부,5,0.138485,75383
original_base,박근혜정부,6,0.157492,75383
original_base,박근혜정부,7,0.098325,75383
original_base,박근혜정부,8,0.070355,75383
original_base,박근혜정부,9,0.091688,75383
original_base,문재인정부,0,0.095389,124617
original_base,문재인정부,1,0.083634,124617
original_base,문재인정부,2,0.088585,124617
original_base,문재인정부,3,0.11882,124617
original_base,문재인정부,4,0.093704,124617
original_base,문재인정부,5,0.118582,124617
original_base,문재인정부,6,0.161732,124617
original_base,문재인정부,7,0.075713,124617
original_base,문재인정부,8,0.068178,124617
original_base,문재인정부,9,0.095663,124617
covid_filtered_same_topic_space,박근혜정부,0,0.103391,75383
covid_filtered_same_topic_space,박근혜정부,1,0.072263,75383
covid_filtered_same_topic_space,박근혜정부,2,0.10592,75383
covid_filtered_same_topic_space,박근혜정부,3,0.094783,75383
covid_filtered_same_topic_space,박근혜정부,4,0.067244,75383
covid_filtered_same_topic_space,박근혜정부,5,0.138464,75383
covid_filtered_same_topic_space,박근혜정부,6,0.157514,75383
covid_filtered_same_topic_space,박근혜정부,7,0.098337,75383
covid_filtered_same_topic_space,박근혜정부,8,0.070374,75383
covid_filtered_same_topic_space,박근혜정부,9,0.091712,75383
covid_filtered_same_topic_space,문재인정부,0,0.096815,124617
covid_filtered_same_topic_space,문재인정부,1,0.085018,124617
covid_filtered_same_topic_space,문재인정부,2,0.08957,124617
covid_filtered_same_topic_space,문재인정부,3,0.119942,124617
covid_filtered_same_topic_space,문재인정부,4,0.083673,124617
covid_filtered_same_topic_space,문재인정부,5,0.119851,124617
covid_filtered_same_topic_space,문재인정부,6,0.16326,124617
covid_filtered_same_topic_space,문재인정부,7,0.07645,124617
covid_filtered_same_topic_space,문재인정부,8,0.069108,124617
covid_filtered_same_topic_space,문재인정부,9,0.096313,124617
