keyword,count_moon_original,count_park_original,log_odds_z_original,direction_original,abs_log_odds_z_original,condition_original,rank_original,count_moon_covid_filtered,count_park_covid_filtered,log_odds_z_covid_filtered,direction_covid_filtered,abs_log_odds_z_covid_filtered,condition_covid_filtered,rank_covid_filtered,retained_in_top_n,direction_stable,rank_change_filtered_minus_original
플랫폼,77121.0,8117.0,93.97099678816792,문재인정부,93.97099678816792,original_base,5.0,77121.0,8117.0,94.5112548913526,문재인정부,94.5112548913526,covid_filtered,1.0,True,True,-4.0
디지털,76475.0,14614.0,74.66593602601422,문재인정부,74.66593602601422,original_base,6.0,76475.0,14614.0,75.2308717588204,문재인정부,75.2308717588204,covid_filtered,2.0,True,True,-4.0
연금,45982.0,59651.0,-71.44350866742991,박근혜정부,71.44350866742991,original_base,7.0,45982.0,59651.0,-70.81981255653145,박근혜정부,70.81981255653145,covid_filtered,3.0,True,True,-4.0
소상공인,36423.0,3291.0,66.9256246015208,문재인정부,66.9256246015208,original_base,8.0,36423.0,3291.0,67.29334124547044,문재인정부,67.29334124547044,covid_filtered,4.0,True,True,-4.0
주택,130810.0,41550.0,64.21037138828329,문재인정부,64.21037138828329,original_base,9.0,130810.0,41550.0,64.99660532782997,문재인정부,64.99660532782997,covid_filtered,5.0,True,True,-4.0
인공지능,44544.0,7349.0,61.25427151378492,문재인정부,61.25427151378492,original_base,10.0,44544.0,7349.0,61.67922547737852,문재인정부,61.67922547737852,covid_filtered,6.0,True,True,-4.0
뉴딜,22517.0,661.0,60.470569007318566,문재인정부,60.470569007318566,original_base,11.0,22517.0,661.0,60.74816106819629,문재인정부,60.74816106819629,covid_filtered,7.0,True,True,-4.0
데이터,61201.0,13873.0,60.11862868538936,문재인정부,60.11862868538936,original_base,12.0,61201.0,13873.0,60.633331534197204,문재인정부,60.633331534197204,covid_filtered,8.0,True,True,-4.0
임금피크제,711.0,8124.0,-58.013545467588,박근혜정부,58.013545467588,original_base,13.0,711.0,8124.0,-57.84026055812635,박근혜정부,57.84026055812635,covid_filtered,9.0,True,True,-4.0
모빌리티,17520.0,322.0,54.62434884733644,문재인정부,54.62434884733644,original_base,14.0,17520.0,322.0,54.867287253272984,문재인정부,54.867287253272984,covid_filtered,10.0,True,True,-4.0
종부세,17758.0,436.0,54.26486540714512,문재인정부,54.26486540714512,original_base,16.0,17758.0,436.0,54.51053340604922,문재인정부,54.51053340604922,covid_filtered,11.0,True,True,-5.0
공정,84568.0,25970.0,53.75449137163296,문재인정부,53.75449137163296,original_base,17.0,84568.0,25970.0,54.383384891927896,문재인정부,54.383384891927896,covid_filtered,12.0,True,True,-5.0
공무원연금,1540.0,8257.0,-52.817668210339015,박근혜정부,52.817668210339015,original_base,18.0,1540.0,8257.0,-52.63263652644783,박근혜정부,52.63263652644783,covid_filtered,13.0,True,True,-5.0
정책,333216.0,151147.0,50.556077588321386,문재인정부,50.556077588321386,original_base,19.0,333216.0,151147.0,51.886022249929525,문재인정부,51.886022249929525,covid_filtered,14.0,True,True,-5.0
텍스트는,13900.0,9.0,50.52634629228105,문재인정부,50.52634629228105,original_base,20.0,13900.0,9.0,50.73992623689894,문재인정부,50.73992623689894,covid_filtered,15.0,True,True,-5.0
화폐,24566.0,3152.0,50.0663492324345,문재인정부,50.0663492324345,original_base,21.0,24566.0,3152.0,50.375339089112934,문재인정부,50.375339089112934,covid_filtered,17.0,True,True,-4.0
산업,181406.0,74053.0,49.65658607339578,문재인정부,49.65658607339578,original_base,22.0,181406.0,74053.0,50.61918963524638,문재인정부,50.61918963524638,covid_filtered,16.0,True,True,-6.0
가상,24045.0,3621.0,46.76107525814633,문재인정부,46.76107525814633,original_base,23.0,24045.0,3621.0,47.070724155631034,문재인정부,47.070724155631034,covid_filtered,18.0,True,True,-5.0
복지,64862.0,61653.0,-46.446221170423655,박근혜정부,46.446221170423655,original_base,24.0,64862.0,61653.0,-45.762910096375066,박근혜정부,45.762910096375066,covid_filtered,21.0,True,True,-3.0
수소,17203.0,1509.0,46.27903103679537,문재인정부,46.27903103679537,original_base,25.0,17203.0,1509.0,46.53127433545086,문재인정부,46.53127433545086,covid_filtered,19.0,True,True,-6.0
혁신성장,11799.0,87.0,45.893494960948786,문재인정부,45.893494960948786,original_base,26.0,11799.0,87.0,46.09125461326216,문재인정부,46.09125461326216,covid_filtered,20.0,True,True,-6.0
감염병,22018.0,3202.0,45.35654465828995,문재인정부,45.35654465828995,original_base,27.0,22018.0,3202.0,45.65197899751459,문재인정부,45.65197899751459,covid_filtered,22.0,True,True,-5.0
민영화,1170.0,5961.0,-44.42114868911846,박근혜정부,44.42114868911846,original_base,28.0,1170.0,5961.0,-44.26311429108917,박근혜정부,44.26311429108917,covid_filtered,23.0,True,True,-5.0
보유세,11674.0,322.0,43.707309151960175,문재인정부,43.707309151960175,original_base,29.0,11674.0,322.0,43.906912316907174,문재인정부,43.906912316907174,covid_filtered,24.0,True,True,-5.0
블록체인,10744.0,158.0,43.113626816261025,문재인정부,43.113626816261025,original_base,30.0,10744.0,158.0,43.30335227948689,문재인정부,43.30335227948689,covid_filtered,26.0,True,True,-4.0
클라우드,18862.0,2556.0,43.07064239702994,문재인정부,43.07064239702994,original_base,31.0,18862.0,2556.0,43.34251921781396,문재인정부,43.34251921781396,covid_filtered,25.0,True,True,-6.0
마크롱,10485.0,109.0,42.98499326209693,문재인정부,42.98499326209693,original_base,32.0,10485.0,109.0,43.17182857468795,문재인정부,43.17182857468795,covid_filtered,27.0,True,True,-5.0
규제,121294.0,48576.0,42.34557642341857,문재인정부,42.34557642341857,original_base,34.0,121294.0,48576.0,43.12979766701958,문재인정부,43.12979766701958,covid_filtered,28.0,True,True,-6.0
암호화폐,9315.0,9.0,41.333302492248315,문재인정부,41.333302492248315,original_base,35.0,9315.0,9.0,41.508177063751035,문재인정부,41.508177063751035,covid_filtered,30.0,True,True,-5.0
판단,156637.0,67250.0,40.72752967189362,문재인정부,40.72752967189362,original_base,36.0,156637.0,67250.0,41.62934668066434,문재인정부,41.62934668066434,covid_filtered,29.0,True,True,-7.0
구조조정,8836.0,13650.0,-40.232804123081614,박근혜정부,40.232804123081614,original_base,37.0,8836.0,13650.0,-39.94557964286026,박근혜정부,39.94557964286026,covid_filtered,32.0,True,True,-5.0
다주택자,13129.0,1183.0,40.199482719400315,문재인정부,40.199482719400315,original_base,38.0,13129.0,1183.0,40.42016502473023,문재인정부,40.42016502473023,covid_filtered,31.0,True,True,-7.0
공급망,9892.0,327.0,39.75392781456536,문재인정부,39.75392781456536,original_base,39.0,9892.0,327.0,39.9383718394782,문재인정부,39.9383718394782,covid_filtered,33.0,True,True,-6.0
소득주도성장,9224.0,168.0,39.647406226833894,문재인정부,39.647406226833894,original_base,40.0,9224.0,168.0,39.823643708829394,문재인정부,39.823643708829394,covid_filtered,34.0,True,True,-6.0
밀레니얼,11004.0,668.0,39.413213606388005,문재인정부,39.413213606388005,original_base,41.0,11004.0,668.0,39.61144887461059,문재인정부,39.61144887461059,covid_filtered,35.0,True,True,-6.0
