period,year,article_count,period_label
park_2013_2017,2013,86315,박근혜정부(2013-2017)
park_2013_2017,2014,101262,박근혜정부(2013-2017)
park_2013_2017,2015,118048,박근혜정부(2013-2017)
park_2013_2017,2016,95022,박근혜정부(2013-2017)
park_2013_2017,2017,15880,박근혜정부(2013-2017)
moon_pre_covid_2017_2019,2017,70511,문재인 전기/코로나 이전(2017-2019)
moon_pre_covid_2017_2019,2018,129023,문재인 전기/코로나 이전(2017-2019)
moon_pre_covid_2017_2019,2019,140394,문재인 전기/코로나 이전(2017-2019)
moon_post_covid_2020_2022,2020,146457,문재인 후기/코로나 이후(2020-2022)
moon_post_covid_2020_2022,2021,150995,문재인 후기/코로나 이후(2020-2022)
moon_post_covid_2020_2022,2022,51842,문재인 후기/코로나 이후(2020-2022)
