period,period_label,topic,mean_topic_share,documents
park_2013_2017,박근혜정부(2013-2017),0,0.103334,75383
park_2013_2017,박근혜정부(2013-2017),1,0.072251,75383
park_2013_2017,박근혜정부(2013-2017),2,0.105899,75383
park_2013_2017,박근혜정부(2013-2017),3,0.094765,75383
park_2013_2017,박근혜정부(2013-2017),4,0.067407,75383
park_2013_2017,박근혜정부(2013-2017),5,0.138485,75383
park_2013_2017,박근혜정부(2013-2017),6,0.157492,75383
park_2013_2017,박근혜정부(2013-2017),7,0.098325,75383
park_2013_2017,박근혜정부(2013-2017),8,0.070355,75383
park_2013_2017,박근혜정부(2013-2017),9,0.091688,75383
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),0,0.091529,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),1,0.079826,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),2,0.092645,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),3,0.121032,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),4,0.065058,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),5,0.135717,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),6,0.160857,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),7,0.084493,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),8,0.073391,61453
moon_pre_covid_2017_2019,문재인 전기/코로나 이전(2017-2019),9,0.095452,61453
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),0,0.099155,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),1,0.087331,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),2,0.084637,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),3,0.116667,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),4,0.121578,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),5,0.101909,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),6,0.162588,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),7,0.067168,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),8,0.063106,63164
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),9,0.095861,63164
