topic,moon_post_covid_2020_2022,moon_pre_covid_2017_2019,park_2013_2017,government_change_pre_covid,covid_period_shift,cumulative_change,dominant_effect
0,0.099155,0.091529,0.103334,-0.011804999999999996,0.007625999999999994,-0.004179000000000002,government_change_pre_covid
1,0.087331,0.079826,0.072251,0.007574999999999998,0.007505000000000012,0.01508000000000001,government_change_pre_covid
2,0.084637,0.092645,0.105899,-0.013253999999999988,-0.008008000000000001,-0.02126199999999999,government_change_pre_covid
3,0.116667,0.121032,0.094765,0.026267,-0.004364999999999994,0.021902000000000005,government_change_pre_covid
4,0.121578,0.065058,0.067407,-0.00234899999999999,0.05652,0.05417100000000001,covid_period_shift
5,0.101909,0.135717,0.138485,-0.0027679999999999927,-0.033808000000000005,-0.036576,covid_period_shift
6,0.162588,0.160857,0.157492,0.003365000000000007,0.0017310000000000103,0.005096000000000017,government_change_pre_covid
7,0.067168,0.084493,0.098325,-0.013831999999999997,-0.017324999999999993,-0.03115699999999999,covid_period_shift
8,0.063106,0.073391,0.070355,0.003035999999999997,-0.010285000000000002,-0.0072490000000000054,covid_period_shift
9,0.095861,0.095452,0.091688,0.0037639999999999896,0.0004090000000000066,0.004172999999999996,government_change_pre_covid
