topic,rank,keyword,probability
0,1,공무원,0.020743
0,2,관리,0.006996
0,3,운영,0.00681
0,4,추진,0.005965
0,5,행정,0.004771
0,6,공사,0.004678
0,7,승진,0.004365
0,8,인사,0.003769
0,9,참여,0.003582
0,10,업무,0.00343
0,11,자치,0.002541
0,12,조직,0.002459
0,13,직원,0.002352
0,14,부산시,0.002312
0,15,세종시,0.002217
1,1,주택,0.014689
1,2,정책,0.014207
1,3,규제,0.010602
1,4,성장,0.007077
1,5,세금,0.006789
1,6,추진,0.004281
1,7,평가,0.0042
1,8,공공,0.003771
1,9,부채,0.003311
1,10,계약,0.003189
1,11,기재부,0.00298
1,12,월세,0.002906
1,13,개선,0.00285
1,14,인하,0.002827
1,15,전세,0.002802
2,1,마음,0.006821
2,2,여성,0.004406
2,3,동물,0.002492
2,4,경험,0.002373
2,5,느낌,0.002345
2,6,의미,0.002284
2,7,화제,0.002093
2,8,혼자,0.002042
2,9,청년,0.001965
2,10,일상,0.001913
2,11,선물,0.001879
2,12,눈물,0.001811
2,13,감정,0.00179
2,14,머리,0.00179
2,15,현실,0.001784
3,1,산업,0.015525
3,2,혁신,0.011379
3,3,성장,0.00819
3,4,활용,0.007252
3,5,경영,0.006843
3,6,평가,0.006395
3,7,전략,0.006004
3,8,경쟁력,0.005804
3,9,운영,0.005431
3,10,플랫폼,0.005154
3,11,디지털,0.005075
3,12,정보,0.004931
3,13,추진,0.004931
3,14,성과,0.004855
3,15,데이터,0.004763
4,1,코로나,0.04063
4,2,연금,0.008017
4,3,의료,0.007639
4,4,확진자,0.007558
4,5,방역,0.007483
4,6,접종,0.006372
4,7,관리,0.006318
4,8,평가,0.00562
4,9,보험료,0.004131
4,10,보건,0.003692
4,11,요금,0.003497
4,12,질환,0.003254
4,13,개선,0.003079
4,14,증상,0.002875
4,15,물질,0.002632
5,1,평가,0.005971
5,2,공격,0.003285
5,3,의미,0.003088
5,4,성과,0.002371
5,5,행동,0.002051
5,6,조직,0.001983
5,7,무기,0.001883
5,8,전략,0.00174
5,9,동맹,0.001735
5,10,작전,0.001699
5,11,민족,0.001681
5,12,역할,0.001606
5,13,인권,0.001599
5,14,협정,0.001516
5,15,능력,0.001489
6,1,정책,0.008828
6,2,비판,0.008577
6,3,개혁,0.00853
6,4,인사,0.008505
6,5,평가,0.006986
6,6,논란,0.005945
6,7,책임,0.004527
6,8,역할,0.004285
6,9,갈등,0.003707
6,10,의미,0.003488
6,11,추진,0.003427
6,12,혁신,0.003332
6,13,판단,0.00316
6,14,제안,0.003108
6,15,참여,0.002696
7,1,교육,0.024146
7,2,평가,0.014774
7,3,운영,0.004584
7,4,인재,0.004226
7,5,능력,0.003658
7,6,고교,0.003612
7,7,참여,0.003489
7,8,학습,0.003325
7,9,고등학교,0.003235
7,10,경험,0.003199
7,11,자사고,0.003128
7,12,전공,0.003112
7,13,대학원,0.002993
7,14,입시,0.002908
7,15,청소년,0.002738
8,1,일자리,0.023482
8,2,청년,0.023114
8,3,여성,0.020061
8,4,노동자,0.013011
8,5,임금,0.012892
8,6,고용,0.012723
8,7,노동,0.011143
8,8,노조,0.009812
8,9,직원,0.007048
8,10,근로자,0.007001
8,11,취업,0.00676
8,12,장애인,0.00632
8,13,업무,0.005856
8,14,근무,0.005841
8,15,복지,0.005823
9,1,정보,0.008422
9,2,판단,0.007597
9,3,행위,0.005538
9,4,공무원,0.005468
9,5,조직,0.005315
9,6,논란,0.004632
9,7,직원,0.004058
9,8,개인,0.003637
9,9,절차,0.003523
9,10,업무,0.003203
9,11,진술,0.003155
9,12,책임,0.002788
9,13,문건,0.002611
9,14,침해,0.002597
9,15,압수수색,0.002466
