keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
코로나,0.06464168874719634,0.06463026774551216,-1.1421001684168079e-05,398.7676211165125,433.8997531472642,-3.0449905355408635,post_covid_specific_increase,0.06463026774551216
확진자,0.015876696631102777,0.01568565206633558,-0.00019104456476719403,171.25113286492345,183.77538027353484,-13.228338863900332,post_covid_specific_increase,0.01568565206633558
방역,0.013362958653621842,0.013184093630472076,-0.00017886502314976547,157.29566059830498,168.7483091230257,-6.542241601705241,post_covid_specific_increase,0.013184093630472076
접종,0.0114427141945124,0.011415426536020611,-2.728765849179047e-05,150.13727631385558,163.18486905979148,-0.3034240840158999,post_covid_specific_increase,0.011415426536020611
감염병,0.0037749427754467527,0.0035036401832463605,-0.00027130259220039236,73.11224354144434,72.03461035905524,-11.346396822848074,post_covid_specific_increase,0.0035036401832463605
팬데믹,0.0033941042414098025,0.0033937372210076843,-3.670204021181494e-07,71.47305033915286,77.75491194025031,0.0,post_covid_specific_increase,0.0033937372210076843
청년,0.002744593565751555,0.002721916978907349,-2.2676586844206162e-05,25.567715088295056,29.736919377522927,2.9612679443429344,post_covid_specific_increase,0.002721916978907349
월성,0.002552633089151349,0.0024813250874190836,-7.130800173226523e-05,51.08088689370312,52.273061888736926,-3.608840093060953,post_covid_specific_increase,0.0024813250874190836
화상,0.0023325566709771267,0.002250309192532245,-8.224747844488161e-05,47.37354843149066,47.93572028024877,-3.836821813880445,post_covid_specific_increase,0.002250309192532245
중립,0.0021541045964567464,0.0021396497316376294,-1.4454864819117043e-05,43.8596466480874,48.71397526207314,2.1571237242972225,post_covid_specific_increase,0.0021396497316376294
유행,0.0023829748476253804,0.0021084807806083525,-0.00027449406701702823,54.08705142811183,50.81820931831171,-8.132521020638832,post_covid_specific_increase,0.0021084807806083525
주호영,0.0021542154287305312,0.0020043862697903523,-0.0001498291589401787,43.33926614248621,44.46193554425604,-2.502636856143055,post_covid_specific_increase,0.0020043862697903523
감염자,0.002283143744372742,0.0019791765544791506,-0.0003039671898935916,56.06916411633164,51.87264983881637,-15.332517742531014,post_covid_specific_increase,0.0019791765544791506
재택근무,0.0019605434453812075,0.0019090115655551131,-5.153187982609469e-05,54.58504840543253,57.960305790125,-2.978334279647178,post_covid_specific_increase,0.0019090115655551131
기본소득,0.0019100243844657322,0.0018946926771170886,-1.5331707348643518e-05,44.99755548997226,46.5936036752412,-2.207313450323282,post_covid_specific_increase,0.0018946926771170886
원희룡,0.0019713583777797193,0.0018780312535238521,-9.332712425586692e-05,41.92978170730055,42.50444167285406,-2.984001464633412,post_covid_specific_increase,0.0018780312535238521
후보가,0.0020277916146162344,0.0018226439703732413,-0.00020514764424299292,40.82665877515059,38.43174428635945,-7.201237448877473,post_covid_specific_increase,0.0018226439703732413
서울시장,0.0018093314092840918,0.0017874598016567227,-2.1871607627369123e-05,33.78994075159917,38.60021522667989,2.874751237190727,post_covid_specific_increase,0.0017874598016567227
등교,0.0019217865966631071,0.0017865172472336438,-0.0001352693494294635,53.990627355533626,53.55662083119153,-8.22622890130999,post_covid_specific_increase,0.0017865172472336438
대선후보,0.0019891923864394042,0.0016882265267551023,-0.00030096585968430165,44.67505839315721,38.49277004040656,-12.949455777959924,post_covid_specific_increase,0.0016882265267551023
주자,0.0027575810750468813,0.0015867641415772365,-0.001170816933469645,48.95977081431284,28.83526805233669,-23.993302949174875,post_covid_specific_increase,0.0015867641415772365
공직자,0.0018699790902314615,0.0015680875104670455,-0.00030189157976441604,26.02824418665526,23.96860301132756,-3.442218959073708,post_covid_specific_increase,0.0015680875104670455
의료진,0.001681185452038979,0.0015610686359953812,-0.00012011681604359769,39.1569703632773,39.818968763695146,-2.108968480263896,post_covid_specific_increase,0.0015610686359953812
표심,0.0017795234901009538,0.0015412232959455545,-0.00023830019415539943,41.65652047309531,39.42220159133427,-6.1220583743098205,post_covid_specific_increase,0.0015412232959455545
단일,0.002016747087862315,0.0015311058204707296,-0.0004856412673915854,42.160751178316666,35.422743189710985,-9.870623797800762,post_covid_specific_increase,0.0015311058204707296
선대,0.0015809780427461124,0.0015091825602797412,-7.179548246637142e-05,36.83471834899888,37.41547738943295,-2.777295050446585,post_covid_specific_increase,0.0015091825602797412
인플레이션,0.001537297301775748,0.0015003736525061513,-3.692364926959692e-05,39.20256023708115,40.732240563669016,-1.737009822681285,post_covid_specific_increase,0.0015003736525061513
보궐,0.001689776036306891,0.001495531458097762,-0.00019424457820912884,40.39375297016924,38.6052295822472,-5.92190433146585,post_covid_specific_increase,0.001495531458097762
