topic,government_change_pre_covid,covid_period_shift,cumulative_change,dominant_effect
4,-0.0023489999999999,0.05652,0.054171,covid_period_shift
5,-0.0027679999999999,-0.033808,-0.036576,covid_period_shift
7,-0.0138319999999999,-0.0173249999999999,-0.0311569999999999,covid_period_shift
3,0.026267,-0.0043649999999999,0.021902,government_change_pre_covid
2,-0.0132539999999999,-0.008008,-0.0212619999999999,government_change_pre_covid
1,0.0075749999999999,0.007505,0.01508,government_change_pre_covid
8,0.0030359999999999,-0.010285,-0.007249,covid_period_shift
6,0.003365,0.001731,0.005096,government_change_pre_covid
0,-0.0118049999999999,0.0076259999999999,-0.004179,government_change_pre_covid
9,0.0037639999999999,0.000409,0.0041729999999999,government_change_pre_covid
