comparison,interpretation,keyword,period_a,period_b,tfidf_a,tfidf_b,delta_b_minus_a,pct_change_b_vs_a,abs_delta,rank_abs_delta
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,코로나,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,6.2442404857923854e-06,0.06464793298768212,0.06464168874719634,1035220.9991635741,0.06464168874719634,1.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,확진자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,6.081606886357055e-05,0.015937512699966346,0.015876696631102777,26106.088288473842,0.015876696631102777,2.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,방역,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.0003123771564511572,0.013675335810072999,0.013362958653621842,4277.828380741807,0.013362958653621842,3.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,접종,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.0002118225448105112,0.011654536739322912,0.0114427141945124,5402.028478483553,0.0114427141945124,4.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,일자리,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.014879869446903213,0.008446341371642673,-0.00643352807526054,-43.23645511956747,0.00643352807526054,5.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,공무원,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.012222716452829659,0.01700565786149884,0.0047829414086691825,39.13157461459308,0.0047829414086691825,6.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,임금,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.007698014410702979,0.0029928172672977612,-0.004705197143405218,-61.122217917172506,0.004705197143405218,7.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,개혁,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.01061148871111436,0.006045443771475061,-0.0045660449396392995,-43.029258796241024,0.0045660449396392995,8.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,디지털,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.003998175384824209,0.00801827970336797,0.004020104318543761,100.54847353127097,0.004020104318543761,9.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,주택,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,0.007488981347624385,0.011448856962333016,0.003959875614708631,52.87602453389422,0.003959875614708631,10.0
