comparison,interpretation,keyword,period_a,period_b,tfidf_a,tfidf_b,delta_b_minus_a,pct_change_b_vs_a,abs_delta,rank_abs_delta
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,공무원,park_2013_2017,moon_pre_covid_2017_2019,0.01957114831824494,0.012222716452829659,-0.007348431865415282,-37.54726981740159,0.007348431865415282,1.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,일자리,park_2013_2017,moon_pre_covid_2017_2019,0.009542990872389393,0.014879869446903213,0.00533687857451382,55.92459058045355,0.00533687857451382,2.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,산업,park_2013_2017,moon_pre_covid_2017_2019,0.008040225264594036,0.012223357226628902,0.004183131962034866,52.02754679593022,0.004183131962034866,3.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,규제,park_2013_2017,moon_pre_covid_2017_2019,0.005870937508019646,0.00987148417965622,0.004000546671636574,68.14153048251434,0.004000546671636574,4.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,연금,park_2013_2017,moon_pre_covid_2017_2019,0.008080104815626333,0.004255359553238115,-0.003824745262388218,-47.335342172683696,0.003824745262388218,5.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,정책,park_2013_2017,moon_pre_covid_2017_2019,0.013200209283118231,0.01668439820516649,0.00348418892204826,26.394952135374055,0.00348418892204826,6.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,인공지능,park_2013_2017,moon_pre_covid_2017_2019,0.001118181221771777,0.004475485222044399,0.003357304000272622,300.2468593554914,0.003357304000272622,7.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,최저임금,park_2013_2017,moon_pre_covid_2017_2019,0.0010312587755686659,0.004259083526535932,0.0032278247509672665,312.9985244670864,0.0032278247509672665,8.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,플랫폼,park_2013_2017,moon_pre_covid_2017_2019,0.0012044311410532177,0.004285382200925169,0.0030809510598719513,255.8013451211338,0.0030809510598719513,9.0
government_change_pre_covid,문재인 전기에서 이미 나타난 정부교체 관련 변화,남북정상회담,park_2013_2017,moon_pre_covid_2017_2019,0.0009136189621957395,0.0039500883560642285,0.003036469393868489,332.35621407975293,0.003036469393868489,10.0
