period,period_label,keyword,tfidf,rank
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),코로나,0.06464793298768212,1.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),평가,0.019889547937060104,2.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),정책,0.017086387943850128,3.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),공무원,0.01700565786149884,4.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),확진자,0.015937512699966346,5.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),청년,0.014710187734488955,6.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),방역,0.013675335810072999,7.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),여성,0.01221454774516937,8.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),추진,0.01216130165105853,9.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),접종,0.011654536739322912,10.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),주택,0.011448856962333016,11.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),운영,0.011418657175011428,12.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),인사,0.011350697538158283,13.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),비판,0.010961834144875691,14.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),교육,0.010843118874856941,15.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),산업,0.01055657525915548,16.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),혁신,0.010141055823149217,17.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),논란,0.009985455218288853,18.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),참여,0.009947558049129992,19.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),관리,0.009655225590971294,20.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),조직,0.009493858997939149,21.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),정보,0.009315156312980756,22.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),성장,0.008837159572743678,23.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),판단,0.008802387213524283,24.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),직원,0.00858807770877783,25.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),일자리,0.008446341371642673,26.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),활용,0.008293497913032672,27.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),플랫폼,0.008149315915759622,28.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),개선,0.008087963166987532,29.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),디지털,0.00801827970336797,30.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),전략,0.008003013209945306,31.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),성과,0.007920796516164735,32.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),업무,0.007919792665256168,33.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),역할,0.007590775194185017,34.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),규제,0.00735565963419092,35.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),책임,0.007310352777025661,36.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),가치,0.00705076242702048,37.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),공정,0.006982175708012078,38.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),의미,0.0068998687626786155,39.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),마음,0.006740241279780607,40.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),개인,0.006590466392117033,41.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),공공,0.006323972717471661,42.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),경영,0.0061862341962378355,43.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),경험,0.0061749205822735935,44.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),경쟁,0.006074142684399677,45.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),개혁,0.006045443771475061,46.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),갈등,0.005873061640184574,47.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),절차,0.005869482282322686,48.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),계약,0.005754425719914575,49.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),노동자,0.005739068759007758,50.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),고용,0.0057159392310985315,51.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),제안,0.0055899621103332985,52.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),의료,0.0053971307845769945,53.0
moon_post_covid_2020_2022,문재인 후기/코로나 이후(2020-2022),소상공인,0.00500223554132938,54.0
